,account_value
0,1000000.0
1,1000000.0
2,1000000.0
3,1000000.0
4,1000000.0
5,1000000.0
6,1000000.0
7,1000000.0
8,1000011.9998931885
9,999725.9998321533
10,999771.000289917
11,1000654.999923706
12,1000105.0006866455
13,1000344.9993133545
14,1000254.0012359619
15,1000734.0000152588
16,1001652.0004272461
17,1003451.9996643066
18,1003055.9989929199
19,1003031.9984436035
20,999860.0002288818
21,1000294.0021514893
22,999079.0000915527
23,993983.0009460449
24,991408.9990615845
25,990205.0008773804
26,993519.9995040894
27,993548.0001449585
28,993223.0001449585
29,993594.9995040894
30,993671.999168396
31,992851.9994735718
32,994616.0003662109
33,995727.9998779297
34,996141.9990539551
35,996591.9998168945
36,997515.9999847412
37,997251.9985198975
38,996601.9985198975
39,997512.0006561279
40,996687.0018005371
41,997294.9974060059
42,998009.0007781982
43,996172.9999542236
44,993740.9986495972
45,994893.0009841919
46,997086.0025405884
47,997500.0017166138
48,994668.9985275269
49,995784.9966049194
50,997995.0017929077
51,997328.9968490601
52,998753.9968490601
53,999613.9974594116
54,999172.999382019
55,991780.9980392456
56,989964.0003204346
57,990447.9988098145
58,990815.9984588623
59,992422.0016479492
60,992085.9979629517
61,992625.998878479
62,993423.9990234375
63,992920.0012207031
64,991761.0000610352
65,993660.9977722168
66,994248.9992141724
67,992093.0002212524
68,990712.9993438721
69,991527.0011901855
70,991191.0015106201
71,990950.9998321533
72,991958.0011367798
73,991543.9985275269
74,990388.0012512207
75,990260.001373291
76,991505.0012588501
77,991910.9998703003
78,992092.9990768433
79,991769.0008163452
80,992015.9990310669
81,991819.9998855591
82,992105.0006866455
83,994184.9994659424
84,994253.0010223389
85,994991.0007476807
86,994174.0001678467
87,995114.0026092529
88,993475.9971618652
89,994773.9974975586
90,994797.0024108887
91,996140.9965515137
92,996915.9999847412
93,998554.0027618408
94,998661.994934082
95,999502.0034790039
96,999908.0017089844
97,1000747.998046875
98,999538.9999389648
99,998995.0057983398
100,998301.9962310791
101,999457.9967498779
102,998582.9967498779
103,998654.9983978271
104,998359.0057373047
105,998320.9976196289
106,1019303.0017852783
107,1017383.003616333
108,1014061.9979858398
109,1014859.9922180176
110,1019632.9948425293
111,1020204.9995422363
112,1017415.0043487549
113,1020451.0036468506
114,1024275.9967803955
115,1021767.998123169
116,1014844.9954986572
117,1014677.0076751709
118,1015538.0039215088
119,1014178.0033111572
120,1006924.0009307861
121,1008216.0015106201
122,1011805.0060272217
123,1013244.9977874756
124,1010445.0004577637
125,1009255.005645752
126,1010311.0046386719
127,1013863.0065917969
128,1009553.9966583252
129,1010214.0003204346
130,1009866.0034179688
131,1008633.9965820312
132,1009416.9990539551
133,1007596.9970703125
134,1002572.0012664795
135,1006579.9968719482
136,1007109.0045928955
137,1007681.0009002686
138,1010495.0012207031
139,1009856.999206543
140,1008867.9985046387
141,1009540.0047302246
142,1006665.0009155273
143,1006171.004486084
144,1006895.9972381592
145,1007400.004196167
146,1006572.0027923584
147,1004701.997756958
148,1003820.0016021729
149,1004940.0043487549
150,1003306.0031890869
151,1004206.0031890869
152,1003407.0011138916
153,1003647.0035552979
154,1005417.0040130615
155,1005641.003036499
156,1005301.001739502
157,1005715.0009155273
158,1006095.0023651123
159,1008495.0038909912
160,1008117.0032501221
161,1007544.998550415
162,1008994.0010070801
163,1011010.001373291
164,1009285.0048065186
165,1008531.0024261475
166,1008422.9999542236
167,1006109.0015411377
168,1008134.0049743652
169,1008902.0042419434
170,1010810.9996795654
171,1009468.998336792
172,1016609.0015411377
173,1016565.0005340576
174,1015415.0005340576
175,1018559.003829956
176,1017984.0049743652
177,1019985.9962463379
178,1013289.9974822998
179,1015949.9996185303
180,1017056.999206543
181,1017940.9996032715
182,1016590.9973144531
183,1014070.9991455078
184,1017130.0033569336
185,1014578.003692627
186,1013402.0008087158
187,1014382.0041656494
188,1016510.0021362305
189,1017572.0024108887
190,1018438.9995574951
191,1017447.0012664795
192,1015677.0008087158
193,1016292.9988861084
194,1017202.9998779297
195,1016651.0009765625
196,1017542.0024871826
197,1017702.0023345947
198,1017081.0001373291
199,1018201.0013580322
200,1019559.0003967285
201,1019630.9997558594
202,1019050.9998321533
203,1018647.00050354
204,1018647.00050354
205,1018617.0009613037
206,1018218.0011749268
207,1018321.9989776611
208,1018754.0019989014
209,1018754.0019989014
210,1018537.0010375977
211,1018717.000579834
212,1018792.0013427734
213,1018008.0001831055
214,1018332.0007324219
215,1018320.0004577637
216,1018211.0004425049
217,1018211.0004425049
218,1018211.0004425049
219,1018211.0004425049
220,1018211.0004425049
221,1018211.0004425049
222,1018211.0004425049
223,1018211.0004425049
224,1018211.0004425049
225,1018211.0004425049
226,1018211.0004425049
227,1018211.0004425049
228,1018211.0004425049
229,1018211.0004425049
230,1018211.0004425049
231,1018211.0004425049
232,1018211.0004425049
233,1018211.0004425049
234,1018211.0004425049
235,1018211.0004425049
236,1018211.0004425049
237,1018187.0004653931
238,1018145.0006484985
239,1018146.0006713867
240,1018146.0006713867
241,1018146.0006713867
242,1018146.0006713867
243,1018146.0006713867
244,1018146.0006713867
245,1018146.0006713867
246,1018146.0006713867
247,1018146.0006713867
248,1018146.0006713867
249,1018146.0006713867
250,1018146.0006713867
251,1018146.0006713867
252,1018146.0006713867
253,1018146.0006713867
254,1018146.0006713867
255,1018146.0006713867
256,1018146.0006713867
257,1018146.0006713867
258,1018146.0006713867
259,1018167.0007705688
260,1018115.0007247925
261,1017968.000793457
262,1017788.0004882812
263,1017803.000831604
264,1017819.0011978149
265,1017864.001083374
266,1017868.000793457
267,1017831.0009002686
268,1017831.0009002686
269,1017831.0009002686
270,1017831.0009002686
271,1017831.0009002686
272,1017831.0009002686
273,1017929.0008544922
274,1017999.0005493164
275,1018029.0012359619
276,1018149.0009307861
277,1018184.0007781982
278,1018262.0014190674
279,1018206.0001373291
280,1017789.9997711182
281,1017808.0001831055
282,1018058.0001831055
283,1017200.0015258789
284,1017344.0002441406
285,1018334.0019226074
286,1018844.0002441406
287,1019031.0024261475
288,1018502.99949646
289,1018385.9992980957
290,1018568.000793457
291,1019183.0005645752
292,1020718.9990997314
293,1020770.0035095215
294,1020536.0015869141
295,1020403.002166748
296,1020143.0000305176
297,1018672.9984283447
298,1017770.9987640381
299,1019114.9974822998
300,1019535.0032806396
301,1018756.0035705566
302,1017424.0005493164
303,1018427.0008087158
304,1020028.999710083
305,1018946.000289917
306,1028986.0012054443
307,1026087.9989624023
308,1023733.9996337891
309,1023021.0052490234
310,1025757.0037841797
311,1026682.0011138916
312,1026032.0011138916
313,1029137.0052337646
314,1031125.0026702881
315,1031936.999130249
316,1029717.0055389404
317,1022214.9993896484
318,1020174.9984741211
319,1018493.0042266846
320,1013956.9965362549
321,1014470.0031280518
322,1021282.0003509521
323,1019057.001876831
324,1021625.0011444092
325,1019256.0039520264
326,1015631.9988250732
327,1013131.9988250732
328,1017572.0043182373
329,1010648.9994049072
330,1000705.0025939941
331,1005976.003074646
332,995476.003074646
333,996400.0001907349
334,990944.0011978149
335,995842.9992675781
336,995447.0027923584
337,997001.0023117065
338,999321.0020065308
339,999548.9999771118
340,1000341.0009384155
341,998437.0027542114
342,998917.0015335083
343,997372.00050354
344,995388.000869751
