,account_value
0,1000000.0
1,1000000.0
2,999831.0001373291
3,999647.0001220703
4,999812.0004653931
5,999714.0005111694
6,999884.0003967285
7,999884.0003967285
8,999896.000289917
9,999610.0002288818
10,999655.0006866455
11,1000539.0003204346
12,999989.001083374
13,1000228.999710083
14,1000138.0016326904
15,1000618.0004119873
16,1001536.0008239746
17,1003336.0000610352
18,1002939.9993896484
19,1002915.998840332
20,999744.0006256104
21,1000178.0025482178
22,999125.0007629395
23,994757.0014953613
24,992578.9999008179
25,991719.0011978149
26,993708.0003738403
27,993724.0007400513
28,993549.0007400513
29,993735.0004196167
30,993770.0002670288
31,993442.0003890991
32,994422.0008850098
33,994978.0006408691
34,995208.0001831055
35,995478.0006408691
36,996066.0007476807
37,995889.9997711182
38,995439.9997711182
39,996090.0012969971
40,995485.0021362305
41,995940.998840332
42,996487.0014190674
43,995059.0007781982
44,993138.99974823
45,994163.0018234253
46,996098.0031967163
47,996466.0024642944
48,993932.9996109009
49,995048.9976882935
50,997519.0034866333
51,996778.9979934692
52,998353.9979934692
53,999299.998664856
54,998817.0007705688
55,990752.9993057251
56,988778.0017852783
57,989306.0001373291
58,989673.999786377
59,991280.0029754639
60,990943.9992904663
61,991538.0002975464
62,992504.0004730225
63,991832.00340271
64,990307.001876831
65,992776.9989013672
66,993533.0007553101
67,990789.0020370483
68,989049.0009307861
69,990159.0034484863
70,989695.0038909912
71,989359.0015411377
72,990790.0033950806
73,990191.9996261597
74,988356.0039520264
75,988132.0041656494
76,990373.0039596558
77,991127.0013809204
78,991504.9997329712
79,990749.0037918091
80,991299.9998092651
81,990880.0016403198
82,991469.0032958984
83,995629.0008544922
84,995761.0038757324
85,997155.0033569336
86,995650.0022888184
87,997342.0066833496
88,994455.9970855713
89,996697.9976654053
90,996737.0059967041
91,998976.9962310791
92,1000248.0018615723
93,1002894.0063476562
94,1003065.9938812256
95,1004386.00730896
96,1005016.0045623779
97,1006303.9989471436
98,1004471.0018157959
99,1003655.0106048584
100,1002625.9963989258
101,1004325.9971618652
102,1003050.9971618652
103,1003154.9995422363
104,1002731.010055542
105,1002676.9985198975
106,1032267.0043945312
107,1029579.0069580078
108,1024961.999130249
109,1026063.9911651611
110,1032612.9947662354
111,1033393.0011749268
112,1029611.0076904297
113,1033571.0067749023
114,1038585.9977722168
115,1035279.9995422363
116,1026102.9960632324
117,1025879.012298584
118,1027034.0072631836
119,1025198.006439209
120,1015340.0032043457
121,1017108.0039978027
122,1022055.0102233887
123,1024054.9987792969
124,1020135.0025177002
125,1018455.009841919
126,1019959.0084075928
127,1025065.01121521
128,1018809.9967956543
129,1019778.002166748
130,1019262.0067596436
131,1017413.9965057373
132,1018603.0002593994
133,1015802.9972076416
134,1007964.0037536621
135,1014309.9967956543
136,1015161.0092163086
137,1016097.0031738281
138,1020787.0037078857
139,1019743.0004119873
140,1018151.9992828369
141,1019216.0091400146
142,1014731.0031890869
143,1014009.0084075928
144,1015081.9976806641
145,1015838.0081176758
146,1014578.0059814453
147,1011687.9981994629
148,1010302.0042419434
149,1012094.0086364746
150,1009428.0067443848
151,1010928.0067443848
152,1009565.0032043457
153,1009985.0074768066
154,1013171.0083007812
155,1013563.0065917969
156,1012983.0043792725
157,1013673.0030059814
158,1014293.0053710938
159,1018133.0078125
160,1017539.0068054199
161,1016654.9995422363
162,1018860.0032806396
163,1021884.003829956
164,1019331.0089111328
165,1018287.0056152344
166,1018147.0024108887
167,1015121.004486084
168,1017794.0090179443
169,1018818.0080413818
170,1021391.0018920898
171,1019561.0000610352
172,1029421.004486084
173,1029365.0032043457
174,1028015.0032043457
175,1031683.0070495605
176,1031062.0082855225
177,1033063.9995574951
178,1026864.0007019043
179,1029144.002532959
180,1030087.0021820068
181,1030835.0025177002
182,1029701.0005950928
183,1027601.0021209717
184,1030128.0055999756
185,1028040.0058746338
186,1027088.0035400391
187,1027872.0062255859
188,1029552.0046234131
189,1030378.0048370361
190,1031041.0026550293
191,1030297.0039367676
192,1028999.0036010742
193,1029439.0022277832
194,1030069.0029144287
195,1029701.0036468506
196,1030268.0046081543
197,1030364.0045166016
198,1030019.0032958984
199,1030579.00390625
200,1031161.0034942627
201,1031185.0032806396
202,1031069.0032958984
203,1031069.0032958984
204,1031069.0032958984
205,1031059.0034484863
206,1030888.0035400391
207,1030940.0024414062
208,1031084.0034484863
209,1031084.0034484863
210,1031053.0033111572
211,1031053.0033111572
212,1031053.0033111572
213,1031053.0033111572
214,1031053.0033111572
215,1031053.0033111572
216,1031053.0033111572
217,1031053.0033111572
218,1031053.0033111572
219,1031053.0033111572
220,1031053.0033111572
221,1031053.0033111572
222,1031053.0033111572
223,1031053.0033111572
224,1031053.0033111572
225,1031053.0033111572
226,1031053.0033111572
227,1031053.0033111572
228,1031053.0033111572
229,1031053.0033111572
230,1031053.0033111572
231,1031053.0033111572
232,1031053.0033111572
233,1031053.0033111572
234,1031053.0033111572
235,1031053.0033111572
236,1031053.0033111572
237,1031053.0033111572
238,1031053.0033111572
239,1031053.0033111572
240,1031053.0033111572
241,1031053.0033111572
242,1031053.0033111572
243,1031053.0033111572
244,1031026.0034561157
245,1030928.0031204224
246,1030944.0031051636
247,1030944.0031051636
248,1030944.0031051636
249,1030944.0031051636
250,1030944.0031051636
251,1030944.0031051636
252,1030944.0031051636
253,1030944.0031051636
254,1030917.0030593872
255,1031041.0032272339
256,1031065.0032043457
257,1031167.0032501221
258,1031293.0027008057
259,1031377.0030975342
260,1031247.0029830933
261,1030953.0031204224
262,1030638.0025863647
263,1030662.0031356812
264,1030690.0037765503
265,1030780.0035476685
266,1030790.002822876
267,1030568.0034637451
268,1031065.002822876
269,1030915.002822876
270,1030978.0029296875
271,1031442.0028686523
272,1031199.0041732788
273,1032179.0037155151
274,1032564.0020370483
275,1032684.0047836304
276,1033074.0037918091
277,1033172.003364563
278,1033367.0049667358
279,1033239.0020370483
280,1032355.0012588501
281,1032391.0020828247
282,1032866.0020828247
283,1031306.004524231
284,1031558.002281189
285,1033538.0056381226
286,1034711.0017776489
287,1035119.0065383911
288,1034019.0004348755
289,1033785.000038147
290,1034136.0029220581
291,1035284.002494812
292,1038067.9998397827
293,1038158.0076217651
294,1037755.0043106079
295,1037531.0052871704
296,1037102.0017623901
297,1034721.999168396
298,1033286.9997024536
299,1035462.9976272583
300,1036156.007194519
301,1034762.0077133179
302,1032172.0018386841
303,1034296.0023880005
304,1037589.0001296997
305,1035423.0012893677
306,1055001.003074646
307,1049480.998802185
308,1045094.0000534058
309,1043792.010307312
310,1048694.0076828003
311,1050322.0029830933
312,1049197.0029830933
313,1054487.0100021362
314,1057824.0056991577
315,1059167.9998397827
316,1055542.010307312
317,1043442.0003890991
318,1040109.9988937378
319,1037326.0084152222
320,1029711.9955062866
321,1030586.0067367554
322,1042376.0019302368
323,1038460.0046157837
324,1043275.0032424927
325,1038537.008857727
326,1031439.9988174438
327,1026639.9988174438
328,1035335.0095748901
329,1021488.99974823
330,1001149.0062713623
331,1012193.0072784424
332,989618.0072784424
333,991554.0012359619
334,980890.0032043457
335,990261.9995117188
336,989488.006401062
337,992596.0054397583
338,997352.004814148
339,997832.000541687
340,999548.0026245117
341,995292.0066833496
342,996462.0037078857
