,date,actions
245,2019-11-11,[100]
246,2019-11-12,[100]
247,2019-11-13,[100]
248,2019-11-14,[100]
249,2019-11-15,[100]
250,2019-11-18,[100]
251,2019-11-19,[100]
252,2019-11-20,[100]
253,2019-11-21,[100]
254,2019-11-22,[100]
255,2019-11-25,[100]
256,2019-11-26,[100]
257,2019-11-27,[100]
258,2019-11-29,[100]
259,2019-12-02,[100]
260,2019-12-03,[100]
261,2019-12-04,[100]
262,2019-12-05,[100]
263,2019-12-06,[100]
264,2019-12-09,[100]
265,2019-12-10,[100]
266,2019-12-11,[100]
267,2019-12-12,[100]
268,2019-12-13,[100]
269,2019-12-16,[100]
270,2019-12-17,[100]
271,2019-12-18,[100]
272,2019-12-19,[100]
273,2019-12-20,[100]
274,2019-12-23,[100]
275,2019-12-24,[100]
276,2019-12-26,[100]
277,2019-12-27,[100]
278,2019-12-30,[100]
279,2019-12-31,[100]
280,2020-01-02,[100]
281,2020-01-03,[100]
282,2020-01-06,[100]
283,2020-01-07,[100]
284,2020-01-08,[100]
285,2020-01-09,[100]
286,2020-01-10,[100]
287,2020-01-13,[100]
288,2020-01-14,[100]
289,2020-01-15,[100]
290,2020-01-16,[100]
291,2020-01-17,[97]
292,2020-01-21,[95]
293,2020-01-22,[96]
294,2020-01-23,[98]
295,2020-01-24,[100]
296,2020-01-27,[100]
297,2020-01-28,[100]
298,2020-01-29,[99]
299,2020-01-30,[95]
300,2020-01-31,[98]
301,2020-02-03,[99]
302,2020-02-04,[95]
303,2020-02-05,[95]
304,2020-02-06,[83]
305,2020-02-07,[76]
306,2020-02-10,[73]
307,2020-02-11,[79]
308,2020-02-12,[80]
309,2020-02-13,[74]
310,2020-02-14,[71]
311,2020-02-18,[64]
312,2020-02-19,[56]
313,2020-02-20,[53]
314,2020-02-21,[56]
315,2020-02-24,[68]
316,2020-02-25,[74]
317,2020-02-26,[81]
318,2020-02-27,[88]
319,2020-02-28,[89]
320,2020-03-02,[82]
321,2020-03-03,[78]
322,2020-03-04,[74]
323,2020-03-05,[80]
324,2020-03-06,[86]
325,2020-03-09,[94]
326,2020-03-10,[95]
327,2020-03-11,[99]
328,2020-03-12,[100]
329,2020-03-13,[100]
330,2020-03-16,[100]
331,2020-03-17,[100]
332,2020-03-18,[100]
333,2020-03-19,[100]
334,2020-03-20,[100]
335,2020-03-23,[100]
336,2020-03-24,[100]
337,2020-03-25,[100]
338,2020-03-26,[100]
339,2020-03-27,[100]
340,2020-03-30,[100]
341,2020-03-31,[100]
342,2020-04-01,[100]
343,2020-04-02,[100]
344,2020-04-03,[100]
345,2020-04-06,[100]
346,2020-04-07,[100]
347,2020-04-08,[100]
348,2020-04-09,[100]
349,2020-04-13,[100]
350,2020-04-14,[100]
351,2020-04-15,[100]
352,2020-04-16,[100]
353,2020-04-17,[100]
354,2020-04-20,[100]
355,2020-04-21,[100]
356,2020-04-22,[100]
357,2020-04-23,[100]
358,2020-04-24,[100]
359,2020-04-27,[100]
360,2020-04-28,[100]
361,2020-04-29,[100]
362,2020-04-30,[100]
363,2020-05-01,[100]
364,2020-05-04,[100]
365,2020-05-05,[100]
366,2020-05-06,[100]
367,2020-05-07,[100]
368,2020-05-08,[100]
369,2020-05-11,[100]
370,2020-05-12,[100]
371,2020-05-13,[100]
372,2020-05-14,[100]
373,2020-05-15,[100]
374,2020-05-18,[100]
375,2020-05-19,[100]
376,2020-05-20,[100]
377,2020-05-21,[99]
378,2020-05-22,[0]
379,2020-05-26,[0]
380,2020-05-27,[0]
381,2020-05-28,[0]
382,2020-05-29,[0]
383,2020-06-01,[0]
384,2020-06-02,[0]
385,2020-06-03,[0]
386,2020-06-04,[0]
387,2020-06-05,[0]
388,2020-06-08,[0]
389,2020-06-09,[0]
390,2020-06-10,[0]
391,2020-06-11,[0]
392,2020-06-12,[0]
393,2020-06-15,[0]
394,2020-06-16,[0]
395,2020-06-17,[0]
396,2020-06-18,[0]
397,2020-06-19,[0]
398,2020-06-22,[0]
399,2020-06-23,[0]
400,2020-06-24,[0]
401,2020-06-25,[0]
402,2020-06-26,[0]
403,2020-06-29,[0]
404,2020-06-30,[0]
405,2020-07-01,[0]
406,2020-07-02,[0]
407,2020-07-06,[0]
408,2020-07-07,[0]
409,2020-07-08,[0]
410,2020-07-09,[0]
411,2020-07-10,[0]
412,2020-07-13,[0]
413,2020-07-14,[0]
414,2020-07-15,[0]
415,2020-07-16,[0]
416,2020-07-17,[0]
417,2020-07-20,[0]
418,2020-07-21,[0]
419,2020-07-22,[0]
420,2020-07-23,[0]
421,2020-07-24,[0]
422,2020-07-27,[0]
423,2020-07-28,[0]
424,2020-07-29,[0]
425,2020-07-30,[0]
426,2020-07-31,[0]
427,2020-08-03,[0]
428,2020-08-04,[0]
429,2020-08-05,[0]
430,2020-08-06,[0]
431,2020-08-07,[0]
432,2020-08-10,[0]
433,2020-08-11,[0]
434,2020-08-12,[0]
435,2020-08-13,[0]
436,2020-08-14,[0]
437,2020-08-17,[0]
438,2020-08-18,[0]
439,2020-08-19,[0]
440,2020-08-20,[0]
441,2020-08-21,[0]
442,2020-08-24,[0]
443,2020-08-25,[0]
444,2020-08-26,[0]
445,2020-08-27,[0]
446,2020-08-28,[0]
447,2020-08-31,[0]
448,2020-09-01,[0]
449,2020-09-02,[0]
450,2020-09-03,[0]
451,2020-09-04,[0]
452,2020-09-08,[0]
453,2020-09-09,[0]
454,2020-09-10,[0]
455,2020-09-11,[0]
456,2020-09-14,[0]
457,2020-09-15,[0]
458,2020-09-16,[0]
459,2020-09-17,[0]
460,2020-09-18,[0]
461,2020-09-21,[0]
462,2020-09-22,[0]
463,2020-09-23,[0]
464,2020-09-24,[0]
465,2020-09-25,[0]
466,2020-09-28,[0]
467,2020-09-29,[0]
468,2020-09-30,[0]
469,2020-10-01,[0]
470,2020-10-02,[0]
471,2020-10-05,[0]
472,2020-10-06,[0]
473,2020-10-07,[0]
474,2020-10-08,[0]
475,2020-10-09,[0]
476,2020-10-12,[0]
477,2020-10-13,[0]
478,2020-10-14,[0]
479,2020-10-15,[0]
480,2020-10-16,[0]
481,2020-10-19,[0]
482,2020-10-20,[0]
483,2020-10-21,[0]
484,2020-10-22,[0]
485,2020-10-23,[0]
486,2020-10-26,[0]
487,2020-10-27,[0]
488,2020-10-28,[0]
489,2020-10-29,[0]
