,date,actions
245,2021-12-22,[58]
246,2021-12-23,[59]
247,2021-12-27,[58]
248,2021-12-28,[57]
249,2021-12-29,[58]
250,2021-12-30,[60]
251,2021-12-31,[61]
252,2022-01-03,[67]
253,2022-01-04,[70]
254,2022-01-05,[65]
255,2022-01-06,[68]
256,2022-01-07,[68]
257,2022-01-10,[69]
258,2022-01-11,[71]
259,2022-01-12,[70]
260,2022-01-13,[70]
261,2022-01-14,[70]
262,2022-01-18,[67]
263,2022-01-19,[67]
264,2022-01-20,[66]
265,2022-01-21,[63]
266,2022-01-24,[64]
267,2022-01-25,[69]
268,2022-01-26,[65]
269,2022-01-27,[65]
270,2022-01-28,[65]
271,2022-01-31,[65]
272,2022-02-01,[65]
273,2022-02-02,[64]
274,2022-02-03,[63]
275,2022-02-04,[64]
276,2022-02-07,[64]
277,2022-02-08,[67]
278,2022-02-09,[72]
279,2022-02-10,[73]
280,2022-02-11,[64]
281,2022-02-14,[62]
282,2022-02-15,[65]
283,2022-02-16,[68]
284,2022-02-17,[63]
285,2022-02-18,[65]
286,2022-02-22,[68]
287,2022-02-23,[52]
288,2022-02-24,[62]
289,2022-02-25,[74]
290,2022-02-28,[74]
291,2022-03-01,[66]
292,2022-03-02,[71]
293,2022-03-03,[71]
294,2022-03-04,[63]
295,2022-03-07,[54]
296,2022-03-08,[58]
297,2022-03-09,[63]
298,2022-03-10,[65]
299,2022-03-11,[62]
300,2022-03-14,[62]
301,2022-03-15,[64]
302,2022-03-16,[77]
303,2022-03-17,[82]
304,2022-03-18,[83]
305,2022-03-21,[82]
306,2022-03-22,[83]
307,2022-03-23,[74]
308,2022-03-24,[74]
309,2022-03-25,[76]
310,2022-03-28,[69]
311,2022-03-29,[74]
312,2022-03-30,[71]
313,2022-03-31,[66]
314,2022-04-01,[66]
315,2022-04-04,[65]
316,2022-04-05,[64]
317,2022-04-06,[63]
318,2022-04-07,[63]
319,2022-04-08,[64]
320,2022-04-11,[62]
321,2022-04-12,[63]
