,raw_actions
0,1.0
1,0.012016535
2,0.012051344
3,-0.67677665
4,-1.0
5,-1.0
6,-1.0
7,-0.620337
8,-1.0
9,-1.0
10,-1.0
11,-1.0
12,-0.676805
13,-1.0
14,-1.0
15,-1.0
16,-1.0
17,-1.0
18,-0.8435638
19,-1.0
20,-1.0
21,-1.0
22,-1.0
23,-1.0
24,-0.7769482
25,-1.0
26,-1.0
27,-1.0
28,-1.0
29,-1.0
30,-1.0
31,-1.0
32,-1.0
33,-0.9282856
34,-1.0
35,-0.6675987
36,-0.29695868
37,-0.95570517
38,-1.0
39,-1.0
40,-1.0
41,-1.0
42,-0.66541123
43,-0.7189033
44,-1.0
45,-1.0
46,-1.0
47,-0.704247
48,-1.0
49,-1.0
50,-0.7067313
51,-0.7458987
52,-1.0
53,-1.0
54,-1.0
55,-0.8846214
56,-1.0
57,-1.0
58,-1.0
59,-1.0
60,-1.0
61,-0.7736938
62,-0.6706314
63,-0.65667915
64,-1.0
65,-0.66676307
66,-1.0
67,-0.6458421
68,-1.0
69,-1.0
70,-1.0
71,-1.0
72,-1.0
73,-1.0
74,-1.0
75,-0.8011563
76,-0.9008219
77,-0.6404402
78,-1.0
79,-1.0
80,-1.0
81,-1.0
82,-1.0
83,-1.0
84,-0.96944904
85,-0.65138054
86,-0.6533196
87,-0.70845366
88,-1.0
89,-0.95371556
90,-0.71355534
91,-0.7522459
92,-0.07922959
93,-0.5092156
94,-0.19228125
95,-1.0
96,-0.11387801
97,-1.0
98,-1.0
99,-0.7397952
100,-0.294523
101,-0.33783698
102,-1.0
103,-0.6371298
104,-0.6447425
105,-0.12392378
106,-1.0
107,-0.8076818
108,-1.0
109,-1.0
110,-0.7654798
111,-1.0
112,-0.9013853
113,-0.053220272
114,-0.07594323
115,-0.38614655
116,-0.9296515
117,-0.51756096
118,-0.6466284
119,-0.64569926
120,-0.59794354
121,-0.043802977
122,-0.74862957
123,-0.6173644
124,-0.8361602
125,-0.7510555
126,-0.11541724
127,-0.040697336
128,-0.009781361
