,date,actions
0,2021-01-19,[0]
1,2021-01-20,[100]
2,2021-01-21,[-22]
3,2021-01-22,[-22]
4,2021-01-25,[-24]
5,2021-01-26,[-28]
6,2021-01-27,[-4]
7,2021-01-28,[0]
8,2021-01-29,[0]
9,2021-02-01,[0]
10,2021-02-02,[0]
11,2021-02-03,[0]
12,2021-02-04,[0]
13,2021-02-05,[0]
14,2021-02-08,[100]
15,2021-02-09,[100]
16,2021-02-10,[100]
17,2021-02-11,[-38]
18,2021-02-12,[-35]
19,2021-02-16,[-34]
20,2021-02-17,[100]
21,2021-02-18,[100]
22,2021-02-19,[100]
23,2021-02-22,[100]
24,2021-02-23,[-37]
25,2021-02-24,[100]
26,2021-02-25,[-38]
27,2021-02-26,[-38]
28,2021-03-01,[-38]
29,2021-03-02,[-36]
30,2021-03-03,[-37]
31,2021-03-04,[-37]
32,2021-03-05,[100]
33,2021-03-08,[-38]
34,2021-03-09,[-39]
35,2021-03-10,[-39]
36,2021-03-11,[-39]
37,2021-03-12,[-41]
38,2021-03-15,[-43]
39,2021-03-16,[-44]
40,2021-03-17,[-42]
41,2021-03-18,[-44]
42,2021-03-19,[-44]
43,2021-03-22,[-42]
44,2021-03-23,[100]
45,2021-03-24,[100]
46,2021-03-25,[100]
47,2021-03-26,[100]
48,2021-03-29,[100]
49,2021-03-30,[100]
50,2021-03-31,[100]
51,2021-04-01,[100]
52,2021-04-05,[100]
53,2021-04-06,[-39]
54,2021-04-07,[-38]
55,2021-04-08,[100]
56,2021-04-09,[-39]
57,2021-04-12,[-39]
58,2021-04-13,[-40]
59,2021-04-14,[-40]
60,2021-04-15,[-40]
61,2021-04-16,[-40]
62,2021-04-19,[-39]
63,2021-04-20,[-39]
64,2021-04-21,[-38]
65,2021-04-22,[-40]
66,2021-04-23,[100]
67,2021-04-26,[100]
68,2021-04-27,[-40]
69,2021-04-28,[-41]
70,2021-04-29,[100]
71,2021-04-30,[100]
72,2021-05-03,[-40]
73,2021-05-04,[-41]
74,2021-05-05,[-40]
75,2021-05-06,[-40]
76,2021-05-07,[-41]
77,2021-05-10,[-42]
78,2021-05-11,[-40]
79,2021-05-12,[100]
80,2021-05-13,[100]
81,2021-05-14,[-40]
82,2021-05-17,[-41]
83,2021-05-18,[-41]
84,2021-05-19,[-42]
85,2021-05-20,[-44]
86,2021-05-21,[-44]
87,2021-05-24,[-43]
88,2021-05-25,[-40]
89,2021-05-26,[-39]
90,2021-05-27,[-41]
91,2021-05-28,[100]
92,2021-06-01,[100]
93,2021-06-02,[-43]
94,2021-06-03,[-42]
95,2021-06-04,[100]
96,2021-06-07,[-41]
97,2021-06-08,[-42]
98,2021-06-09,[-42]
99,2021-06-10,[-43]
100,2021-06-11,[-42]
101,2021-06-14,[-43]
102,2021-06-15,[100]
103,2021-06-16,[-42]
104,2021-06-17,[-41]
105,2021-06-18,[100]
106,2021-06-21,[100]
107,2021-06-22,[100]
108,2021-06-23,[100]
109,2021-06-24,[100]
110,2021-06-25,[-44]
111,2021-06-28,[-44]
112,2021-06-29,[-44]
113,2021-06-30,[-43]
114,2021-07-01,[-42]
115,2021-07-02,[-41]
116,2021-07-06,[100]
117,2021-07-07,[100]
118,2021-07-08,[100]
119,2021-07-09,[100]
120,2021-07-12,[100]
121,2021-07-13,[100]
122,2021-07-14,[100]
123,2021-07-15,[100]
124,2021-07-16,[100]
125,2021-07-19,[100]
126,2021-07-20,[100]
127,2021-07-21,[-39]
128,2021-07-22,[100]
129,2021-07-23,[100]
130,2021-07-26,[100]
131,2021-07-27,[100]
132,2021-07-28,[100]
133,2021-07-29,[100]
134,2021-07-30,[-40]
135,2021-08-02,[-40]
136,2021-08-03,[100]
137,2021-08-04,[100]
138,2021-08-05,[-41]
139,2021-08-06,[-43]
140,2021-08-09,[-43]
141,2021-08-10,[-43]
142,2021-08-11,[-44]
143,2021-08-12,[-45]
144,2021-08-13,[-45]
145,2021-08-16,[-44]
146,2021-08-17,[-43]
147,2021-08-18,[-41]
148,2021-08-19,[-43]
149,2021-08-20,[-45]
150,2021-08-23,[-45]
151,2021-08-24,[-48]
152,2021-08-25,[-50]
153,2021-08-26,[-50]
154,2021-08-27,[-48]
155,2021-08-30,[-47]
156,2021-08-31,[-46]
157,2021-09-01,[-46]
158,2021-09-02,[-46]
159,2021-09-03,[100]
160,2021-09-07,[100]
161,2021-09-08,[100]
162,2021-09-09,[100]
163,2021-09-10,[100]
164,2021-09-13,[100]
165,2021-09-14,[100]
166,2021-09-15,[100]
167,2021-09-16,[100]
168,2021-09-17,[-47]
169,2021-09-20,[100]
170,2021-09-21,[-47]
171,2021-09-22,[-48]
172,2021-09-23,[-47]
173,2021-09-24,[-47]
174,2021-09-27,[-48]
175,2021-09-28,[-49]
176,2021-09-29,[-50]
177,2021-09-30,[-50]
178,2021-10-01,[-48]
179,2021-10-04,[-48]
180,2021-10-05,[100]
181,2021-10-06,[100]
182,2021-10-07,[100]
183,2021-10-08,[100]
184,2021-10-11,[100]
185,2021-10-12,[100]
186,2021-10-13,[100]
187,2021-10-14,[-48]
188,2021-10-15,[-49]
189,2021-10-18,[-49]
190,2021-10-19,[-51]
191,2021-10-20,[-50]
192,2021-10-21,[-53]
193,2021-10-22,[-52]
194,2021-10-25,[-52]
195,2021-10-26,[-49]
196,2021-10-27,[-49]
197,2021-10-28,[-55]
198,2021-10-29,[99]
199,2021-11-01,[-60]
200,2021-11-02,[-58]
201,2021-11-03,[-60]
202,2021-11-04,[-62]
203,2021-11-05,[-62]
204,2021-11-08,[-61]
205,2021-11-09,[-59]
206,2021-11-10,[-62]
207,2021-11-11,[-64]
208,2021-11-12,[-69]
209,2021-11-15,[-71]
210,2021-11-16,[-75]
211,2021-11-17,[-75]
212,2021-11-18,[-81]
213,2021-11-19,[-75]
214,2021-11-22,[-75]
215,2021-11-23,[-76]
216,2021-11-24,[-76]
217,2021-11-26,[-80]
218,2021-11-29,[88]
219,2021-11-30,[85]
220,2021-12-01,[83]
221,2021-12-02,[71]
222,2021-12-03,[80]
223,2021-12-06,[82]
224,2021-12-07,[84]
225,2021-12-08,[89]
226,2021-12-09,[92]
227,2021-12-10,[96]
228,2021-12-13,[99]
229,2021-12-14,[100]
230,2021-12-15,[100]
231,2021-12-16,[100]
232,2021-12-17,[100]
233,2021-12-20,[100]
234,2021-12-21,[100]
235,2021-12-22,[100]
236,2021-12-23,[100]
237,2021-12-27,[-54]
238,2021-12-28,[-55]
239,2021-12-29,[-55]
240,2021-12-30,[-51]
241,2021-12-31,[-51]
242,2022-01-03,[-51]
243,2022-01-04,[-54]
244,2022-01-05,[-54]
245,2022-01-06,[-56]
246,2022-01-07,[-57]
247,2022-01-10,[100]
248,2022-01-11,[100]
249,2022-01-12,[100]
250,2022-01-13,[-60]
251,2022-01-14,[100]
252,2022-01-18,[100]
253,2022-01-19,[100]
254,2022-01-20,[100]
255,2022-01-21,[100]
256,2022-01-24,[-58]
257,2022-01-25,[-59]
258,2022-01-26,[100]
259,2022-01-27,[100]
260,2022-01-28,[100]
261,2022-01-31,[-59]
262,2022-02-01,[-53]
263,2022-02-02,[-50]
264,2022-02-03,[-51]
265,2022-02-04,[100]
266,2022-02-07,[100]
267,2022-02-08,[-58]
268,2022-02-09,[-56]
269,2022-02-10,[-56]
270,2022-02-11,[100]
271,2022-02-14,[100]
272,2022-02-15,[-56]
273,2022-02-16,[-55]
274,2022-02-17,[100]
275,2022-02-18,[-56]
276,2022-02-22,[100]
277,2022-02-23,[100]
278,2022-02-24,[100]
279,2022-02-25,[-54]
280,2022-02-28,[-52]
281,2022-03-01,[100]
282,2022-03-02,[-57]
283,2022-03-03,[-57]
284,2022-03-04,[100]
285,2022-03-07,[100]
286,2022-03-08,[-49]
287,2022-03-09,[100]
288,2022-03-10,[100]
289,2022-03-11,[100]
290,2022-03-14,[100]
291,2022-03-15,[100]
292,2022-03-16,[-57]
293,2022-03-17,[-53]
294,2022-03-18,[-50]
295,2022-03-21,[-52]
296,2022-03-22,[-54]
297,2022-03-23,[-54]
298,2022-03-24,[-51]
299,2022-03-25,[-52]
300,2022-03-28,[-56]
301,2022-03-29,[100]
302,2022-03-30,[100]
303,2022-03-31,[99]
304,2022-04-01,[100]
305,2022-04-04,[100]
306,2022-04-05,[100]
307,2022-04-06,[100]
308,2022-04-07,[100]
309,2022-04-08,[100]
310,2022-04-11,[100]
311,2022-04-12,[100]
312,2022-04-13,[-51]
313,2022-04-14,[-51]
314,2022-04-18,[-54]
315,2022-04-19,[-54]
316,2022-04-20,[-53]
317,2022-04-21,[-51]
318,2022-04-22,[-51]
319,2022-04-25,[-54]
320,2022-04-26,[100]
321,2022-04-27,[100]
322,2022-04-28,[100]
323,2022-04-29,[100]
324,2022-05-02,[100]
325,2022-05-03,[100]
326,2022-05-04,[100]
327,2022-05-05,[100]
328,2022-05-06,[100]
329,2022-05-09,[100]
330,2022-05-10,[100]
331,2022-05-11,[100]
332,2022-05-12,[100]
333,2022-05-13,[100]
334,2022-05-16,[100]
335,2022-05-17,[100]
336,2022-05-18,[100]
337,2022-05-19,[100]
338,2022-05-20,[100]
339,2022-05-23,[100]
340,2022-05-24,[100]
341,2022-05-25,[100]
342,2022-05-26,[-46]
343,2022-05-27,[-48]
344,2022-05-31,[-50]
345,2022-06-01,[-51]
346,2022-06-02,[-52]
347,2022-06-03,[-52]
348,2022-06-06,[-50]
349,2022-06-07,[-49]
350,2022-06-08,[-49]
351,2022-06-09,[-50]
352,2022-06-10,[100]
353,2022-06-13,[100]
354,2022-06-14,[100]
355,2022-06-15,[100]
356,2022-06-16,[100]
357,2022-06-17,[100]
358,2022-06-21,[100]
359,2022-06-22,[100]
360,2022-06-23,[100]
361,2022-06-24,[100]
362,2022-06-27,[100]
363,2022-06-28,[100]
364,2022-06-29,[100]
365,2022-06-30,[100]
366,2022-07-01,[100]
367,2022-07-05,[100]
368,2022-07-06,[100]
369,2022-07-07,[100]
370,2022-07-08,[100]
371,2022-07-11,[100]
372,2022-07-12,[100]
373,2022-07-13,[100]
374,2022-07-14,[100]
375,2022-07-15,[100]
376,2022-07-18,[100]
377,2022-07-19,[-43]
378,2022-07-20,[-44]
379,2022-07-21,[-45]
380,2022-07-22,[-46]
381,2022-07-25,[-46]
382,2022-07-26,[-45]
383,2022-07-27,[-43]
384,2022-07-28,[-43]
385,2022-07-29,[-42]
386,2022-08-01,[100]
387,2022-08-02,[100]
388,2022-08-03,[100]
389,2022-08-04,[100]
390,2022-08-05,[100]
391,2022-08-08,[-44]
392,2022-08-09,[-45]
393,2022-08-10,[-44]
394,2022-08-11,[-45]
395,2022-08-12,[-46]
396,2022-08-15,[-45]
397,2022-08-16,[-47]
398,2022-08-17,[-48]
399,2022-08-18,[-47]
400,2022-08-19,[-48]
401,2022-08-22,[-45]
402,2022-08-23,[-45]
403,2022-08-24,[100]
404,2022-08-25,[100]
405,2022-08-26,[100]
406,2022-08-29,[100]
407,2022-08-30,[100]
408,2022-08-31,[100]
409,2022-09-01,[100]
410,2022-09-02,[100]
411,2022-09-06,[100]
412,2022-09-07,[100]
413,2022-09-08,[100]
414,2022-09-09,[100]
415,2022-09-12,[-44]
416,2022-09-13,[100]
417,2022-09-14,[100]
418,2022-09-15,[100]
419,2022-09-16,[100]
420,2022-09-19,[-41]
421,2022-09-20,[100]
422,2022-09-21,[100]
423,2022-09-22,[100]
424,2022-09-23,[100]
425,2022-09-26,[100]
426,2022-09-27,[100]
427,2022-09-28,[100]
428,2022-09-29,[100]
429,2022-09-30,[100]
430,2022-10-03,[100]
431,2022-10-04,[-43]
432,2022-10-05,[-42]
433,2022-10-06,[-42]
434,2022-10-07,[-43]
435,2022-10-10,[-44]
436,2022-10-11,[-44]
437,2022-10-12,[-43]
438,2022-10-13,[-42]
439,2022-10-14,[-42]
440,2022-10-17,[-43]
441,2022-10-18,[-45]
442,2022-10-19,[-45]
443,2022-10-20,[-44]
444,2022-10-21,[-45]
445,2022-10-24,[-46]
446,2022-10-25,[-46]
447,2022-10-26,[-47]
448,2022-10-27,[-47]
449,2022-10-28,[-47]
450,2022-10-31,[-48]
451,2022-11-01,[-47]
452,2022-11-02,[-46]
453,2022-11-03,[-46]
454,2022-11-04,[100]
455,2022-11-07,[100]
456,2022-11-08,[100]
457,2022-11-09,[100]
458,2022-11-10,[100]
459,2022-11-11,[-47]
460,2022-11-14,[100]
461,2022-11-15,[-46]
462,2022-11-16,[100]
463,2022-11-17,[-47]
464,2022-11-18,[-49]
465,2022-11-21,[-47]
466,2022-11-22,[-48]
467,2022-11-23,[-49]
468,2022-11-25,[-50]
469,2022-11-28,[-49]
470,2022-11-29,[-50]
471,2022-11-30,[-48]
472,2022-12-01,[-49]
473,2022-12-02,[-48]
474,2022-12-05,[-48]
475,2022-12-06,[100]
476,2022-12-07,[100]
477,2022-12-08,[100]
478,2022-12-09,[100]
479,2022-12-12,[100]
480,2022-12-13,[100]
481,2022-12-14,[100]
482,2022-12-15,[100]
483,2022-12-16,[100]
484,2022-12-19,[100]
485,2022-12-20,[100]
486,2022-12-21,[100]
487,2022-12-22,[100]
488,2022-12-23,[100]
489,2022-12-27,[100]
490,2022-12-28,[100]
491,2022-12-29,[100]
492,2022-12-30,[-46]
493,2023-01-03,[-46]
494,2023-01-04,[-46]
495,2023-01-05,[-47]
496,2023-01-06,[-47]
497,2023-01-09,[-47]
498,2023-01-10,[-47]
499,2023-01-11,[-48]
500,2023-01-12,[-47]
501,2023-01-13,[-47]
502,2023-01-17,[-47]
503,2023-01-18,[-49]
504,2023-01-19,[-49]
505,2023-01-20,[-49]
506,2023-01-23,[-48]
507,2023-01-24,[-48]
508,2023-01-25,[-48]
509,2023-01-26,[-49]
510,2023-01-27,[-49]
511,2023-01-30,[-49]
512,2023-01-31,[-49]
513,2023-02-01,[-49]
514,2023-02-02,[-49]
515,2023-02-03,[-50]
516,2023-02-06,[-50]
517,2023-02-07,[-50]
518,2023-02-08,[100]
519,2023-02-09,[100]
520,2023-02-10,[100]
521,2023-02-13,[100]
522,2023-02-14,[100]
523,2023-02-15,[100]
524,2023-02-16,[99]
525,2023-02-17,[99]
526,2023-02-21,[100]
527,2023-02-22,[100]
528,2023-02-23,[100]
529,2023-02-24,[100]
530,2023-02-27,[100]
531,2023-02-28,[100]
532,2023-03-01,[100]
533,2023-03-02,[-46]
534,2023-03-03,[-48]
535,2023-03-06,[-47]
536,2023-03-07,[-48]
537,2023-03-08,[-48]
538,2023-03-09,[100]
539,2023-03-10,[100]
540,2023-03-13,[100]
541,2023-03-14,[100]
542,2023-03-15,[100]
543,2023-03-16,[100]
544,2023-03-17,[100]
545,2023-03-20,[100]
546,2023-03-21,[100]
547,2023-03-22,[100]
548,2023-03-23,[100]
549,2023-03-24,[100]
550,2023-03-27,[100]
551,2023-03-28,[100]
552,2023-03-29,[100]
