,date,account_value
0,2018-11-05,1000000.0
1,2018-11-06,1000036.5977710724
2,2018-11-07,1000147.1564731598
3,2018-11-08,999900.6570610047
4,2018-11-09,999857.2396713257
5,2018-11-12,998818.8299163819
6,2018-11-13,999103.6309307099
7,2018-11-14,999394.3806488038
8,2018-11-15,999583.0909915925
9,2018-11-16,1000047.7729701997
10,2018-11-19,998354.4073436739
11,2018-11-20,997339.2092597963
12,2018-11-21,997996.1046331407
13,2018-11-23,997355.943930626
14,2018-11-26,999732.8303283693
15,2018-11-27,999414.5497016908
16,2018-11-28,999603.2869926454
17,2018-11-29,997169.0134738924
18,2018-11-30,997435.8862205506
19,2018-12-03,1001631.7394809724
20,2018-12-04,999428.3765327454
21,2018-12-06,1000265.1157260896
22,2018-12-07,999975.8257686616
23,2018-12-10,1001352.539258957
24,2018-12-11,1003797.1973575593
25,2018-12-12,1008293.7504501344
26,2018-12-13,1007354.1238632203
27,2018-12-14,1007296.5336273195
28,2018-12-17,1000460.9504726412
29,2018-12-18,1001356.6114551546
30,2018-12-19,998923.2333351137
31,2018-12-20,987635.942227173
32,2018-12-21,981297.0085884096
33,2018-12-24,978456.2818685534
34,2018-12-26,985967.6337556841
35,2018-12-27,986034.7693578722
36,2018-12-28,985131.9013578417
37,2018-12-31,986276.056381798
38,2019-01-02,986539.1812221529
39,2019-01-03,983338.3014123918
40,2019-01-04,991175.5063796999
41,2019-01-07,996871.5088771823
42,2019-01-08,998800.3710319522
43,2019-01-09,1000732.1943126682
44,2019-01-10,1004424.9699840549
45,2019-01-11,1003431.6554908756
46,2019-01-14,1001128.3684909825
47,2019-01-15,1004180.1386627201
48,2019-01-16,1001536.8403247837
49,2019-01-17,1003395.5798664097
50,2019-01-18,1005492.3047847751
51,2019-01-22,1000286.9754501346
52,2019-01-23,993627.746879578
53,2019-01-24,997016.6567537311
54,2019-01-25,1003979.5006975177
55,2019-01-28,1005241.2081796649
56,2019-01-29,996893.885780144
57,2019-01-30,1000424.7156919482
58,2019-01-31,1007961.5073923114
59,2019-02-01,1005775.1351873401
60,2019-02-04,1010271.8161874774
61,2019-02-05,1012891.424049187
62,2019-02-06,1011585.9927255634
63,2019-02-07,990414.5728803638
64,2019-02-08,985355.4992280963
65,2019-02-11,986782.4937648777
66,2019-02-12,987835.4697578434
67,2019-02-13,992723.4404701237
68,2019-02-14,991632.3165376667
69,2019-02-15,993492.2236963277
70,2019-02-19,996429.1012304311
71,2019-02-20,994437.9448974613
72,2019-02-21,990042.8035028462
73,2019-02-22,996974.7191486362
74,2019-02-25,999043.5532299045
75,2019-02-26,991690.357663155
76,2019-02-27,987127.2537639622
77,2019-02-28,989973.2192260746
78,2019-03-01,988722.1424161915
79,2019-03-04,987771.0737861637
80,2019-03-05,992008.0292793277
81,2019-03-06,990141.9145376208
82,2019-03-07,984562.8476755145
83,2019-03-08,983895.8363086703
84,2019-03-11,990864.8316677096
85,2019-03-12,993326.7362371448
86,2019-03-13,994527.6149881366
87,2019-03-14,992175.497599602
88,2019-03-15,993844.3825145722
89,2019-03-18,992595.2659467699
90,2019-03-19,994302.1627532962
91,2019-03-20,1006129.0288105014
92,2019-03-21,1006493.7802333835
93,2019-03-22,1010303.5178142551
94,2019-03-25,1006258.212945557
95,2019-03-26,1010719.9655422214
96,2019-03-27,1003228.6346397403
97,2019-03-28,1008948.408119965
98,2019-03-29,1009043.1420551304
99,2019-04-01,1014583.8298851018
100,2019-04-02,1017680.4996181492
101,2019-04-03,1024040.1354061131
102,2019-04-04,1024444.6678344731
103,2019-04-05,1027531.2572677616
104,2019-04-08,1028983.7789199833
105,2019-04-09,1031920.2801025395
106,2019-04-10,1027782.772572327
107,2019-04-11,1025960.3171646122
108,2019-04-12,1023688.827853394
109,2019-04-15,1027391.3925167088
110,2019-04-16,1024637.9215168004
111,2019-04-17,1024856.4805980687
112,2019-04-18,1023957.0548149113
113,2019-04-22,1023840.5906753545
114,2019-04-23,1085169.1638519291
115,2019-04-24,1079645.1921161655
116,2019-04-25,1070245.2471858982
117,2019-04-26,1072464.383118439
118,2019-04-29,1085558.5233207708
119,2019-04-30,1087101.558031464
120,2019-05-01,1079657.5798488623
121,2019-05-02,1087639.649002457
122,2019-05-03,1098005.6353866584
123,2019-05-06,1090990.5591403968
124,2019-05-07,1071022.528572083
125,2019-05-08,1070518.702811814
126,2019-05-09,1073160.8332759864
127,2019-05-10,1068838.9523380285
128,2019-05-13,1045027.0995254521
129,2019-05-14,1049409.4424938206
130,2019-05-15,1062015.765362931
131,2019-05-16,1067251.9453792577
132,2019-05-17,1056688.1254501347
133,2019-05-20,1052029.3957443242
134,2019-05-21,1056313.6766548161
135,2019-05-22,1071294.9378944403
136,2019-05-23,1052387.0363151554
137,2019-05-24,1055397.3340389258
138,2019-05-28,1053737.607778931
139,2019-05-29,1047617.8448432926
140,2019-05-30,1051674.172660828
141,2019-05-31,1041800.4479034428
142,2019-06-03,1013254.8277378087
143,2019-06-04,1037132.358553696
144,2019-06-05,1040440.7968936925
145,2019-06-06,1044207.1395557409
146,2019-06-07,1063767.4827835087
147,2019-06-10,1059500.6763252262
148,2019-06-11,1053132.9078086857
149,2019-06-12,1057301.22545929
150,2019-06-13,1040047.4535709387
151,2019-06-14,1037174.8403076177
152,2019-06-17,1041579.1812400821
153,2019-06-18,1044788.5815975193
154,2019-06-19,1039240.9071979527
155,2019-06-20,1026062.2427211766
156,2019-06-21,1019506.727285767
157,2019-06-24,1028295.2468463902
158,2019-06-25,1014703.6792026524
159,2019-06-26,1022650.2072025303
160,2019-06-27,1015126.6656711583
161,2019-06-28,1017538.2152378086
162,2019-07-01,1036650.7301815038
163,2019-07-02,1038929.1122325901
164,2019-07-03,1035645.4777202611
165,2019-07-05,1039436.8681671147
166,2019-07-08,1042753.2558319096
167,2019-07-09,1062789.6235729223
168,2019-07-10,1059761.8534458166
169,2019-07-11,1055364.0703433994
170,2019-07-12,1066070.36750145
171,2019-07-15,1080430.5861106878
172,2019-07-16,1068558.7417312628
173,2019-07-17,1063537.9268924717
174,2019-07-18,1062838.1409622198
175,2019-07-19,1047259.3856433872
176,2019-07-22,1061511.7328132633
177,2019-07-23,1067171.969411469
178,2019-07-24,1081942.1441024784
179,2019-07-25,1071019.2601772314
180,2019-07-26,1132215.4756431584
181,2019-07-29,1131849.31535759
182,2019-07-30,1122745.1653575902
183,2019-07-31,1146714.0904888157
184,2019-08-01,1142477.86791153
185,2019-08-02,1156718.5978080754
186,2019-08-05,1110586.3213226323
187,2019-08-06,1128347.298589707
188,2019-08-07,1136051.163721085
189,2019-08-08,1142472.9936050419
190,2019-08-09,1132208.7692100531
191,2019-08-12,1112149.6307823185
192,2019-08-13,1137681.6179386145
193,2019-08-14,1115289.4398834233
194,2019-08-15,1104421.3482414251
195,2019-08-16,1113972.3719715122
196,2019-08-19,1135920.2930362707
197,2019-08-20,1147539.1260421758
198,2019-08-21,1157632.8638084417
199,2019-08-22,1145290.6050640112
200,2019-08-23,1121686.380960465
201,2019-08-26,1130525.455360062
202,2019-08-27,1144657.9510877577
203,2019-08-28,1135319.0599466139
204,2019-08-29,1151830.944987988
205,2019-08-30,1155104.740331757
206,2019-09-03,1140898.3256801458
207,2019-09-04,1169844.9290738837
208,2019-09-05,1210144.237983704
209,2019-09-06,1212644.5362890097
210,2019-09-09,1188313.7283291097
211,2019-09-10,1167033.9532461707
212,2019-09-11,1167030.1472461706
213,2019-09-12,1165964.3074517674
214,2019-09-13,1153803.5955604902
215,2019-09-16,1156583.4284633338
216,2019-09-17,1166896.634294045
217,2019-09-18,1166893.0886139073
218,2019-09-19,1160176.1964337812
219,2019-09-20,1166693.5454505049
220,2019-09-23,1169962.5203391155
221,2019-09-24,1127044.8298417057
222,2019-09-25,1150769.3635701146
223,2019-09-26,1149443.5482972874
224,2019-09-27,1125331.78436245
225,2019-09-30,1122000.1666037298
226,2019-10-01,1100847.3332183538
227,2019-10-02,1088560.2022586064
228,2019-10-03,1095279.4267633671
229,2019-10-04,1103369.6404846807
230,2019-10-07,1113292.021785935
231,2019-10-08,1088389.2739257894
232,2019-10-09,1083843.3599963232
233,2019-10-10,1084751.9808648534
234,2019-10-11,1103506.2711438832
235,2019-10-14,1090187.8595883108
236,2019-10-15,1101704.557848412
237,2019-10-16,1093145.3190276113
238,2019-10-17,1086179.244384686
239,2019-10-18,1071732.962806378
240,2019-10-21,1097449.7349981312
241,2019-10-22,1067403.3156392407
242,2019-10-23,1067871.053524487
243,2019-10-24,876767.4355180478
244,2019-10-25,866079.2769020505
245,2019-10-28,860353.4523598142
246,2019-10-29,855322.0182821698
247,2019-10-30,855559.4887855953
248,2019-10-31,858212.42146954
249,2019-11-01,849723.7114645429
250,2019-11-04,860189.0604595608
251,2019-11-05,854319.2610546537
252,2019-11-06,847689.16563477
253,2019-11-07,835610.1202688641
254,2019-11-08,839566.4114931531
255,2019-11-11,842793.3670305676
256,2019-11-12,835556.3601927228
257,2019-11-13,836304.8223898357
258,2019-11-14,831524.3509609648
259,2019-11-15,840609.6773693509
260,2019-11-18,846689.5465683407
261,2019-11-19,845414.366981358
262,2019-11-20,838514.2612877316
263,2019-11-21,854411.2658098645
264,2019-11-22,860587.0809172101
265,2019-11-25,873765.0338325924
266,2019-11-26,884658.832325787
267,2019-11-27,890125.2121578641
268,2019-11-29,883324.3891737409
269,2019-12-02,870461.2541807599
270,2019-12-03,858602.9420811123
271,2019-12-04,859393.3132395216
272,2019-12-05,860452.1375421949
273,2019-12-06,864445.8733778425
274,2019-12-09,864977.7156086393
275,2019-12-10,855042.0732822843
276,2019-12-11,874170.0146133847
277,2019-12-12,867405.709613461
278,2019-12-13,869845.7337555357
279,2019-12-16,885644.792676968
280,2019-12-17,878258.5853159375
281,2019-12-18,905151.6027525372
282,2019-12-19,914789.1427221723
283,2019-12-20,917550.5029966779
284,2019-12-23,925870.768828816
285,2019-12-24,927816.6673311659
286,2019-12-26,931446.2971796461
287,2019-12-27,929199.3828276105
288,2019-12-30,914560.7149439283
289,2019-12-31,915122.4248735852
290,2020-01-02,922205.4698736615
291,2020-01-03,900015.1745966382
292,2020-01-06,903437.3921072432
293,2020-01-07,929134.8825556684
294,2020-01-08,943696.8646304059
295,2020-01-09,948550.9312693524
296,2020-01-10,935987.5415598798
297,2020-01-13,933417.7672030377
298,2020-01-14,937129.687700932
299,2020-01-15,948836.41334409
300,2020-01-16,976247.2672030377
301,2020-01-17,977103.9312693524
302,2020-01-21,973392.0107714582
303,2020-01-22,971393.3094851422
304,2020-01-23,967681.388987248
305,2020-01-24,947694.2672030377
306,2020-01-27,935987.5415598798
307,2020-01-28,954261.4441325116
308,2020-01-29,960257.6569125104
309,2020-01-30,948550.9312693524
310,2020-01-31,927421.66334409
311,2020-02-03,944267.937700932
312,2020-02-04,969680.0902735639
313,2020-02-05,953404.888987248
314,2020-02-06,1096740.9620577742
315,2020-02-07,1057337.7915598801
316,2020-02-10,1026786.0902735639
317,2020-02-11,1017934.7299830365
318,2020-02-12,1050485.1325556685
319,2020-02-13,1061049.7120577742
320,2020-02-14,1053911.4620577742
321,2020-02-18,1086747.4556261946
322,2020-02-19,1107020.0594851424
323,2020-02-20,1115014.864630406
324,2020-02-21,1093885.7056261946
325,2020-02-24,1024787.388987248
326,2020-02-25,1005371.3402735639
327,2020-02-26,988810.6569125104
328,2020-02-27,942554.7184893537
329,2020-02-28,947979.8581988263
330,2020-03-02,1022788.687700932
331,2020-03-03,997376.5351283002
332,2020-03-04,1027928.2364146161
333,2020-03-05,998518.6812693524
334,2020-03-06,955403.5902735639
335,2020-03-09,926850.5902735639
336,2020-03-10,979673.7056261945
337,2020-03-11,893729.1146304059
338,2020-03-12,764669.5960204053
339,2020-03-13,836337.6325556684
340,2020-03-16,686434.3825556684
341,2020-03-17,698997.66334409
342,2020-03-18,628186.2364146161
343,2020-03-19,689004.1024519849
344,2020-03-20,683864.6081988263
345,2020-03-23,704993.8216635633
346,2020-03-24,738115.2973067212
347,2020-03-25,741541.6268088268
348,2020-03-26,754104.9620577741
349,2020-03-27,722125.6325556684
350,2020-03-30,730691.5107714582
351,2020-03-31,701281.901165669
352,2020-04-01,665876.187700932
353,2020-04-02,657310.3094851422
354,2020-04-03,659309.0107714582
355,2020-04-06,711846.5351283002
356,2020-04-07,731262.5838419842
357,2020-04-08,795506.8338419842
358,2020-04-09,792937.0594851422
359,2020-04-13,776947.3402735639
360,2020-04-14,797791.0716635633
361,2020-04-15,785513.2729498793
362,2020-04-16,758102.3646304059
363,2020-04-17,762385.3581988263
364,2020-04-20,771236.7729498793
365,2020-04-21,735259.9864146161
366,2020-04-22,812067.5716635633
367,2020-04-23,795506.8338419842
368,2020-04-24,820633.449879353
369,2020-04-27,856610.2364146161
370,2020-04-28,822061.1325556684
371,2020-04-29,887733.0107714582
372,2020-04-30,818920.2851283002
373,2020-05-01,794935.7607714582
374,2020-05-04,806071.41334409
375,2020-05-05,801502.937700932
376,2020-05-06,790367.2851283002
377,2020-05-07,821490.0594851422
378,2020-05-08,854611.5351283002
379,2020-05-11,847758.8216635633
380,2020-05-12,832340.1755225112
381,2020-05-13,803216.1024519849
382,2020-05-14,815493.901165669
383,2020-05-15,828057.2364146161
384,2020-05-18,846331.1389872481
385,2020-05-19,853183.8524519849
386,2020-05-20,920283.41334409
387,2020-05-21,923424.2607714582
388,2020-05-22,931419.0659167218
389,2020-05-26,971107.7184893537
390,2020-05-27,944267.937700932
391,2020-05-28,902295.0473067212
392,2020-05-29,884306.6268088268
393,2020-06-01,910575.3889872481
394,2020-06-02,921139.9684893537
395,2020-06-03,995948.9069125104
396,2020-06-04,962827.4312693524
397,2020-06-05,995663.3159167218
398,2020-06-08,1046202.138987248
399,2020-06-09,1025643.9441325116
400,2020-06-10,1003372.638987248
401,2020-06-11,943125.7915598798
402,2020-06-12,953690.4799830365
403,2020-06-15,973963.0838419843
404,2020-06-16,988810.6569125104
405,2020-06-17,980530.2607714582
406,2020-06-18,971678.7915598798
407,2020-06-19,953975.9620577741
408,2020-06-22,955689.1812693524
409,2020-06-23,939699.4620577741
410,2020-06-24,906006.91334409
411,2020-06-25,895727.8703772473
412,2020-06-26,829484.8646304059
413,2020-06-29,842048.199879353
414,2020-06-30,850614.1325556684
415,2020-07-01,879738.151165669
416,2020-07-02,881451.3703772473
417,2020-07-06,923424.2607714582
418,2020-07-07,941983.7543398786
419,2020-07-08,1011081.9620577741
420,2020-07-09,1019933.4312693524
421,2020-07-10,1010796.4799830365
422,2020-07-13,965682.687700932
423,2020-07-14,981672.4069125104
424,2020-07-15,1018505.6941325116
425,2020-07-16,1007370.0415598798
426,2020-07-17,1022503.2056261945
427,2020-07-20,1058194.4556261946
428,2020-07-21,1056766.7184893538
429,2020-07-22,1054768.0172030376
430,2020-07-23,1097597.5172030376
431,2020-07-24,1071899.8825556685
432,2020-07-27,1052198.2428461956
433,2020-07-28,1045345.5838419843
434,2020-07-29,1061049.7120577742
435,2020-07-30,1048486.4312693524
436,2020-07-31,1039349.4799830365
437,2020-08-03,1039063.888987248
438,2020-08-04,1037921.7428461955
439,2020-08-05,1050485.1325556685
440,2020-08-06,1076182.7672030376
441,2020-08-07,1060478.638987248
442,2020-08-10,1069044.5172030376
443,2020-08-11,1064476.0415598801
444,2020-08-12,1069044.5172030376
445,2020-08-13,1079894.6877009321
446,2020-08-14,1082178.9799830366
447,2020-08-17,1084177.6812693526
448,2020-08-18,1085319.7184893538
449,2020-08-19,1110446.388987248
450,2020-08-20,1112445.090273564
451,2020-08-21,1121010.9684893538
452,2020-08-24,1156131.2543398787
453,2020-08-25,1157844.364630406
454,2020-08-26,1172977.5286967207
455,2020-08-27,1153275.888987248
456,2020-08-28,1172691.9377009321
457,2020-08-31,1158701.0286967207
458,2020-09-01,1174976.2299830366
459,2020-09-02,1246929.6941325117
460,2020-09-03,1188681.6569125105
461,2020-09-04,1138428.315916722
462,2020-09-08,1090459.2672030376
463,2020-09-09,1129576.9556261946
464,2020-09-10,1112159.6081988264
465,2020-09-11,1111588.5351283003
466,2020-09-14,1107020.0594851424
467,2020-09-15,1116157.0107714583
468,2020-09-16,1130718.9928461956
469,2020-09-17,1123580.7428461956
470,2020-09-18,1146423.2299830366
471,2020-09-21,1139284.9799830366
472,2020-09-22,1220089.91334409
473,2020-09-23,1294327.7786967207
474,2020-09-24,1231796.638987248
475,2020-09-25,1251783.7607714583
476,2020-09-28,1260635.2299830366
477,2020-09-29,1277481.5043398787
478,2020-09-30,1270628.7364146162
479,2020-10-01,1333445.3581988264
480,2020-10-02,1316884.565916722
481,2020-10-05,1350862.7056261946
482,2020-10-06,1302036.9928461956
483,2020-10-07,1309746.315916722
484,2020-10-08,1313743.7184893538
485,2020-10-09,1310602.9799830366
486,2020-10-12,1377702.4864146162
487,2020-10-13,1342011.2364146162
488,2020-10-14,1312887.16334409
489,2020-10-15,1314314.7915598801
490,2020-10-16,1308033.2056261946
491,2020-10-19,1308318.6877009321
492,2020-10-20,1323451.7428461956
493,2020-10-21,1434523.0043398787
494,2020-10-22,1435665.0415598801
495,2020-10-23,1440233.5172030376
496,2020-10-26,1399117.2364146162
497,2020-10-27,1463932.5594851424
498,2020-10-28,1385697.2915598801
499,2020-10-29,1497054.0351283003
500,2020-10-30,1180972.3338419844
