,raw_actions
0,0.4330987
1,-0.25436622
2,0.42656454
3,0.42287353
4,0.39389187
5,0.35468578
6,0.29380676
7,0.22556764
8,0.24872848
9,0.22306073
10,0.24896172
11,0.23389003
12,0.17885244
13,0.18152681
14,-0.5779048
15,-0.6370111
16,-0.55172384
17,0.15689309
18,0.16032943
19,0.1863715
20,-0.55841887
21,-0.5511359
22,-0.54554
23,-0.562524
24,0.16464838
25,-0.58045876
26,0.14797711
27,0.14656258
28,0.15015501
29,0.13864705
30,0.14414276
31,0.123300426
32,-0.58946776
33,0.096076824
34,0.091331184
35,0.05748535
36,0.029318335
37,-0.0031366162
38,-0.0638796
39,-0.17170836
40,-0.21254747
41,-0.24593854
42,-0.25718442
43,-0.29655635
44,-0.9351758
45,-0.89539593
46,-0.8841635
47,-0.8951489
48,-0.84881705
49,-0.8348286
50,-0.78281116
51,-0.7377801
52,-0.7310339
53,0.031179244
54,0.06612548
55,-0.69161284
56,0.012169236
57,0.024645822
58,-0.0059657358
59,-0.009790197
60,-0.008348947
61,-0.0059975535
62,-0.03491175
63,-0.030002309
64,-0.019767972
65,-0.04971295
66,-0.75953764
67,-0.7591007
68,-0.057619438
69,-0.062883906
70,-0.7608944
71,-0.7833687
72,-0.055025846
73,-0.09286239
74,-0.10681482
75,-0.13445753
76,-0.10551501
77,-0.13462728
78,-0.141924
79,-0.8263769
80,-0.7866819
81,-0.118124135
82,-0.16162573
83,-0.1764791
84,-0.22206701
85,-0.22408196
86,-0.19433284
87,-0.22082536
88,-0.214791
89,-0.21277207
90,-0.28175765
91,-0.95310766
92,-0.9491541
93,-0.30735072
94,-0.27353084
95,-0.9354056
96,-0.28800598
97,-0.28384563
98,-0.30416965
99,-0.36263275
100,-0.32953972
101,-0.3530235
102,-0.97522867
103,-0.34114337
104,-0.32238528
105,-0.9601896
106,-0.95715594
107,-0.9657479
108,-0.9500345
109,-0.977497
110,-0.345143
111,-0.33159286
112,-0.351874
113,-0.34053835
114,-0.3336982
115,-0.34807685
116,-0.9910584
117,-0.9703038
118,-0.953254
119,-0.9586725
120,-0.9541002
121,-0.9509623
122,-0.95413566
123,-0.9297575
124,-0.89949006
125,-0.88239115
126,-0.84618974
127,-0.16051912
128,-0.85582066
129,-0.85417426
130,-0.838855
131,-0.8106042
132,-0.79123366
133,-0.80009574
134,-0.055821486
135,-0.07107119
136,-0.8069644
137,-0.7980407
138,-0.0729906
139,-0.128024
140,-0.14424825
141,-0.18084626
142,-0.23076715
143,-0.25678408
144,-0.27457562
145,-0.31618026
146,-0.29553658
147,-0.30471906
148,-0.3872617
149,-0.4552088
150,-0.50733495
151,-0.59770155
152,-0.57454705
153,-0.59386694
154,-0.6674667
155,-0.6818237
156,-0.69167423
157,-0.7922767
158,-0.7948265
159,-1.0
160,-1.0
161,-1.0
162,-1.0
163,-1.0
164,-1.0
165,-1.0
166,-1.0
167,-1.0
168,-0.6754735
169,-1.0
170,-0.6672371
171,-0.6767311
172,-0.697015
173,-0.7502877
174,-0.7916763
175,-0.8209387
176,-0.85868967
177,-0.85732865
178,-0.85222274
179,-0.84877133
180,-1.0
181,-1.0
182,-1.0
183,-1.0
184,-1.0
185,-1.0
186,-1.0
187,-0.8016068
188,-0.836102
189,-0.888743
190,-0.9506721
191,-0.97304845
192,-1.0
193,-0.96880895
194,-1.0
195,-1.0
196,-1.0
197,-1.0
198,-1.0
199,-1.0
200,-1.0
201,-1.0
202,-1.0
203,-1.0
204,-1.0
205,-1.0
206,-1.0
207,-1.0
208,-1.0
209,-1.0
210,-1.0
211,-1.0
212,-1.0
213,-1.0
214,-1.0
215,-1.0
216,-1.0
217,-1.0
218,-1.0
219,-1.0
220,-1.0
221,-1.0
222,-1.0
223,-1.0
224,-1.0
225,-1.0
226,-1.0
227,-1.0
228,-1.0
229,-1.0
230,-1.0
231,-1.0
232,-1.0
233,-1.0
234,-1.0
235,-1.0
236,-1.0
237,-1.0
238,-1.0
239,-1.0
240,-1.0
241,-1.0
242,-1.0
243,-1.0
244,-1.0
245,-1.0
246,-1.0
247,-1.0
248,-1.0
249,-1.0
250,-1.0
251,-1.0
252,-1.0
253,-1.0
254,-1.0
255,-1.0
256,-1.0
257,-1.0
258,-1.0
259,-1.0
260,-1.0
261,-1.0
262,-1.0
263,-1.0
264,-1.0
265,-1.0
266,-1.0
267,-1.0
268,-1.0
269,-1.0
270,-1.0
271,-1.0
272,-1.0
273,-1.0
274,-1.0
275,-1.0
276,-1.0
277,-1.0
278,-1.0
279,-1.0
280,-1.0
281,-1.0
282,-1.0
283,-1.0
284,-1.0
285,-1.0
286,-0.9805783
287,-1.0
288,-1.0
289,-1.0
290,-1.0
291,-1.0
292,-0.99973536
293,-1.0
294,-1.0
295,-1.0
296,-1.0
297,-1.0
298,-1.0
299,-1.0
300,-1.0
301,-1.0
302,-1.0
303,-1.0
304,-1.0
305,-1.0
306,-1.0
307,-1.0
308,-1.0
309,-1.0
310,-1.0
311,-1.0
312,-1.0
313,-1.0
314,-1.0
315,-1.0
316,-1.0
317,-1.0
318,-1.0
319,-1.0
320,-1.0
321,-1.0
322,-1.0
323,-1.0
324,-1.0
325,-1.0
326,-1.0
327,-1.0
328,-1.0
329,-1.0
330,-1.0
331,-1.0
332,-1.0
333,-1.0
334,-1.0
335,-1.0
336,-1.0
337,-1.0
338,-1.0
339,-1.0
340,-1.0
341,-1.0
342,-0.53985846
343,-0.5787888
344,-0.6439581
345,-0.6501288
346,-0.63444173
347,-0.68385357
348,-0.7692939
349,-0.8291191
350,-0.882571
351,-0.95052445
352,-1.0
353,-1.0
354,-1.0
355,-1.0
356,-1.0
357,-1.0
358,-1.0
359,-1.0
360,-1.0
361,-1.0
362,-1.0
