,date,open,high,low,close,volume,tic,day
0,2005-01-03,28.93000030517578,29.344999313354492,28.75,17.16111946105957,4201600,M,0
1,2005-01-04,29.049999237060547,29.135000228881836,28.670000076293945,17.16111946105957,3901400,M,1
2,2005-01-05,29.024999618530273,29.25,28.610000610351562,17.0656795501709,5751200,M,2
3,2005-01-06,28.5,29.200000762939453,28.100000381469727,17.059711456298828,4962400,M,3
4,2005-01-07,28.600000381469727,28.600000381469727,28.184999465942383,16.868839263916016,3250200,M,4
5,2005-01-10,28.149999618530273,28.9950008392334,28.149999618530273,17.181995391845703,2763800,M,0
6,2005-01-11,28.80500030517578,28.864999771118164,28.540000915527344,17.179014205932617,2211600,M,1
7,2005-01-12,28.71500015258789,28.825000762939453,28.450000762939453,17.08954620361328,2153200,M,2
8,2005-01-13,28.524999618530273,29.030000686645508,28.454999923706055,17.110414505004883,1838000,M,3
9,2005-01-14,28.704999923706055,29.25,28.700000762939453,17.40865707397461,1492000,M,4
10,2005-01-18,29.190000534057617,29.700000762939453,28.84000015258789,17.28936767578125,4899000,M,1
11,2005-01-19,28.825000762939453,28.950000762939453,28.524999618530273,17.02392578125,1866200,M,2
12,2005-01-20,28.274999618530273,28.674999237060547,27.549999237060547,16.496030807495117,11232200,M,3
13,2005-01-21,27.655000686645508,28.149999618530273,27.46500015258789,16.448305130004883,6436400,M,4
14,2005-01-24,27.725000381469727,27.7549991607666,27.270000457763672,16.29918670654297,2691600,M,0
15,2005-01-25,27.424999237060547,27.625,27.100000381469727,16.284265518188477,3511400,M,1
16,2005-01-26,27.280000686645508,27.424999237060547,27.229999542236328,16.31708526611328,2909600,M,2
17,2005-01-27,27.375,27.950000762939453,27.264999389648438,16.642166137695312,3044400,M,3
18,2005-01-28,27.950000762939453,27.989999771118164,27.540000915527344,16.46918296813965,2403000,M,4
19,2005-01-31,27.809999465942383,28.420000076293945,27.69499969482422,16.94041633605957,3301000,M,0
20,2005-02-01,28.875,29.149999618530273,28.700000762939453,17.196914672851562,2985600,M,1
21,2005-02-02,28.760000228881836,28.899999618530273,28.635000228881836,17.238666534423828,1550600,M,2
22,2005-02-03,28.75,29.110000610351562,28.700000762939453,17.349008560180664,2484800,M,3
23,2005-02-04,29.09000015258789,29.424999237060547,29.0,17.48322296142578,2052000,M,4
24,2005-02-07,29.309999465942383,29.954999923706055,29.309999465942383,17.635332107543945,4931800,M,0
25,2005-02-08,29.649999618530273,29.8700008392334,29.260000228881836,17.46234703063965,2692400,M,1
26,2005-02-09,29.344999313354492,29.364999771118164,28.6200008392334,17.119361877441406,2431200,M,2
27,2005-02-10,28.799999237060547,28.81999969482422,28.485000610351562,17.029884338378906,1913200,M,3
28,2005-02-11,28.59000015258789,28.905000686645508,28.59000015258789,17.149188995361328,1994200,M,4
29,2005-02-14,28.799999237060547,28.799999237060547,28.479999542236328,17.074623107910156,1255400,M,0
30,2005-02-15,28.799999237060547,29.135000228881836,28.614999771118164,17.298315048217773,3535800,M,1
31,2005-02-16,28.899999618530273,29.010000228881836,28.56999969482422,17.11638641357422,1640000,M,2
32,2005-02-17,28.7450008392334,28.850000381469727,28.579999923706055,17.110414505004883,1757600,M,3
33,2005-02-18,28.684999465942383,28.684999465942383,27.905000686645508,16.916553497314453,5418000,M,4
34,2005-02-22,27.850000381469727,28.0,27.450000762939453,16.49005889892578,5812200,M,1
35,2005-02-23,27.764999389648438,28.604999542236328,27.764999389648438,16.886722564697266,6461000,M,2
36,2005-02-24,28.350000381469727,28.649999618530273,28.174999237060547,17.003049850463867,3345600,M,3
37,2005-02-25,28.399999618530273,28.405000686645508,27.905000686645508,16.937427520751953,5140200,M,4
38,2005-02-28,29.0049991607666,29.05500030517578,27.809999465942383,16.836023330688477,25535200,M,0
39,2005-03-01,28.5,30.815000534057617,28.25,18.187088012695312,25200600,M,1
40,2005-03-02,30.075000762939453,31.549999237060547,30.0,18.348142623901367,14206600,M,2
41,2005-03-03,30.885000228881836,31.200000762939453,30.434999465942383,18.446563720703125,8571600,M,3
42,2005-03-04,30.875,31.040000915527344,30.44499969482422,18.178138732910156,5398800,M,4
43,2005-03-07,30.5049991607666,30.600000381469727,30.014999389648438,18.118494033813477,6945000,M,0
44,2005-03-08,30.174999237060547,30.385000228881836,30.094999313354492,18.07672691345215,4714200,M,1
45,2005-03-09,30.575000762939453,31.024999618530273,30.3700008392334,18.193052291870117,6611800,M,2
46,2005-03-10,30.450000762939453,31.424999237060547,30.424999237060547,18.68515968322754,7162000,M,3
47,2005-03-11,31.100000381469727,31.190000534057617,30.959999084472656,18.576061248779297,3604000,M,4
48,2005-03-14,31.325000762939453,32.22999954223633,31.30500030517578,19.263517379760742,8240200,M,0
49,2005-03-15,32.150001525878906,32.27000045776367,31.920000076293945,19.233623504638672,6787800,M,1
50,2005-03-16,32.07500076293945,32.07500076293945,31.3799991607666,18.830120086669922,5540000,M,2
51,2005-03-17,31.6200008392334,31.934999465942383,31.3700008392334,19.039350509643555,3618600,M,3
52,2005-03-18,31.75,31.834999084472656,31.1200008392334,18.839094161987305,4438600,M,4
53,2005-03-21,31.350000381469727,31.440000534057617,30.565000534057617,18.626874923706055,3787600,M,0
54,2005-03-22,31.15999984741211,31.25,30.540000915527344,18.366844177246094,4089800,M,1
55,2005-03-23,30.399999618530273,30.65999984741211,30.1299991607666,18.103822708129883,7677200,M,2
56,2005-03-24,30.5,30.9950008392334,30.174999237060547,18.25326156616211,5306800,M,3
57,2005-03-28,30.53499984741211,31.75,30.520000457763672,18.860010147094727,6396400,M,0
58,2005-03-29,31.200000762939453,31.559999465942383,30.674999237060547,18.432598114013672,5053400,M,1
59,2005-03-30,30.84000015258789,31.649999618530273,30.81999969482422,18.901857376098633,5086800,M,2
60,2005-03-31,31.520000457763672,31.975000381469727,31.5049991607666,19.021411895751953,4854600,M,3
61,2005-04-01,31.899999618530273,31.920000076293945,31.315000534057617,18.773330688476562,5440200,M,4
62,2005-04-04,31.450000762939453,32.435001373291016,31.399999618530273,19.296384811401367,9869800,M,0
