,0
Annual return,0.0010524100560131977
Cumulative returns,0.0023025397193456865
Annual volatility,0.31242060183906795
Sharpe ratio,0.16076345663164676
Calmar ratio,0.002699989272954266
Stability,0.06522539860013388
Max drawdown,-0.38978305082733716
Omega ratio,1.033324665474269
Sortino ratio,0.21926280664554892
Skew,
Kurtosis,
Tail ratio,0.9844751186522473
Daily value at risk,-0.03916198725062318
