,account_value
0,1000000.0
1,1000000.0
2,1000179.4281005859
3,999469.482421875
4,999886.5966796875
5,999812.0269775391
6,999916.8853759766
7,999716.4855957031
8,999265.2015686035
9,996903.8734436035
10,997288.3674621582
11,997117.4842834473
12,994203.8925170898
13,992265.1351928711
14,988862.2062683105
15,993016.2559509277
16,995800.8895874023
17,994868.7850952148
18,995713.8954162598
19,997627.7870178223
20,994948.0155944824
21,999743.660736084
22,1000710.7437133789
23,1002798.6099243164
24,1003934.2346191406
25,1005472.1969604492
26,1004985.1654052734
27,1003322.94921875
28,1005508.6814880371
29,1005320.6932067871
30,1006339.0159606934
31,1009377.7061462402
32,1006853.2539367676
33,1027795.9770202637
34,1027096.8765258789
35,1030005.094909668
36,1030634.220123291
37,1030764.722442627
38,1030877.3620605469
39,1030970.539855957
40,1030199.9862670898
41,1032909.3124389648
42,1033832.1502685547
43,1035865.608215332
44,1031575.1495361328
45,1033046.2188720703
46,1033860.2798461914
47,1040011.5356445312
48,1044516.5664672852
49,1041247.5845336914
50,1046241.3627624512
51,1048452.5856018066
52,1046087.3428344727
53,1045534.1537475586
54,1050519.9897766113
55,1051279.1343688965
56,1052239.3440246582
57,1050164.9055480957
58,1046160.4774475096
59,1050364.3501281738
60,1047278.5995483397
61,1045031.1721801758
62,1041282.9360961914
63,1034408.8043212891
64,1033241.8502807617
65,1044771.0861206054
66,1047324.2401123046
67,1048600.291442871
68,1049666.5245056152
69,1052684.056854248
70,1056422.9316711426
71,1057787.1284484863
72,1053381.1851501465
73,1062634.6031188965
74,1052470.319366455
75,1051070.07522583
76,1056545.4666137695
77,1051308.9706420898
78,1054995.810699463
79,1061486.693572998
80,1073760.725402832
81,1072063.5025024414
82,1075677.635192871
83,1070734.8922729492
84,1073681.4598083496
85,1074338.4117126465
86,1066593.529510498
87,1072171.1555480957
88,1076889.0838623047
89,1080472.396850586
90,1077608.1787109375
91,1085598.2238769531
92,1046269.7296142578
93,1054322.4426269531
94,1044704.3014526366
95,1055178.9245605469
96,1051829.140472412
97,1042701.2351989746
98,1048366.0629272459
99,1045608.0139160155
100,1054331.7169189453
101,1056428.5858154297
102,1049339.6347045898
103,1054214.6942138672
104,1055185.408782959
105,1034591.0892486573
106,1037296.8621826171
107,1029387.0847320557
108,1029235.0774765015
109,999573.8863754272
110,1013948.168258667
111,1022238.0733108519
112,1033494.1996383668
113,1021629.5334625244
114,1027714.0562438965
115,1037829.1429901122
116,1037068.6688613892
117,1006951.1640930176
118,1006114.4309234619
119,992272.6487731934
120,986416.2463378907
121,985503.5460281371
122,965881.6204833982
123,975616.6526031494
124,1009232.5864791869
125,1000106.0942077636
126,1005658.1902313234
127,1013948.168258667
128,1024823.8021087646
129,1034026.3344955443
130,1025812.6155090331
131,1032581.4263534546
132,1027942.1036148071
133,1026421.0094070435
134,1037296.7892074584
135,1042620.4729843138
136,1056082.2734832764
137,1058744.115371704
138,1059885.0090026855
139,1052355.5780792234
140,1053572.7307510376
141,1053572.7307510376
142,1048857.1489715576
143,1063915.8648681638
144,1066501.7396163938
145,1076541.078147888
146,1075324.0714263916
147,1069163.5815048218
148,1059732.9287719727
149,1068403.1073760984
150,1074259.363861084
151,1085667.3514938354
152,1090078.4809112546
153,1091675.90713501
154,1088177.1131515503
155,1138068.7696456907
156,1138445.500793457
157,1138892.130241394
158,1143606.7677688599
159,1141056.5214920046
160,1143651.2145233157
161,1150565.8620071409
162,1147182.2391128542
163,1139446.594314575
164,1128904.9004364014
165,1143070.3591537476
166,1122406.9552230835
167,1079239.9506759644
168,1079042.7716064453
169,1068267.7412796023
170,1086042.032546997
171,1058686.5313339233
172,1041537.8675079346
173,1056487.0233154297
174,1024107.9814529419
175,1028940.1979827881
176,1042359.1256713865
177,1051796.7570114136
178,1036591.4183425903
179,1046009.0050125122
180,1046541.8589782714
181,1009990.3533935547
182,1013256.0662841796
183,1022454.0077285768
184,1034847.7845687866
185,1051372.7957153323
186,1056439.5767745974
187,1045292.8506393431
188,1062597.4347991943
189,1098843.366409302
190,1095757.5508270261
191,1111580.9758300781
192,1130481.2670593262
193,1119412.1667022707
194,1119563.239402771
195,1119936.9339904787
196,1111139.4788284302
197,1109047.3419189453
198,1109198.1280899048
199,1114923.6571350095
200,1106514.9925689697
201,1107996.0038833618
202,1104954.6474685667
203,1116496.6697616577
204,1119506.9453659055
205,1117139.1676101687
206,1133614.3595352173
207,1120454.9030227663
208,1105883.7541885378
209,1108351.1966018677
210,1115681.801979065
211,1102896.1702957153
212,1080979.4648818972
213,1090832.3003005984
214,1102101.3269729614
215,1114813.2382736204
216,1109191.2196426392
217,1116687.3925857546
218,1109809.390464783
219,1048512.6444778444
220,1047198.884437561
221,1035407.9812545775
222,1046184.904876709
223,1049464.809173584
224,1047043.9097976685
225,1057742.7016677854
226,1061881.5368270874
227,1045091.5787582396
228,1056258.938964844
229,1044388.9113998412
230,1058445.5912017825
231,1075157.3434600828
232,1076875.5014190671
233,1083825.6725387576
234,1088013.534446716
235,1087381.4448699951
236,1070472.104446411
237,1071420.3498992918
238,1062649.5238113406
239,1058856.8382339475
240,1062017.5823516848
241,1061306.2501449585
242,1062965.8278045654
243,1052535.6462326047
244,1057592.6590805056
245,1061543.459625244
246,1074422.8309326172
247,1067469.5493545535
248,1057039.5158996582
249,1062412.6846237183
250,1050244.127113342
251,1044001.8815078735
252,1042974.7637176514
253,1042342.5260238647
254,1052693.6871414187
255,1058224.822715759
256,1058145.8022613523
257,1056960.5695037842
258,1069286.9457473755
259,1060516.267776489
260,1059883.9560241697
261,1060595.2141723635
262,1062096.4546890256
263,1063281.6133880613
264,1071420.3498992918
265,1071104.3421401975
266,1066600.324356079
267,1066047.2552337644
268,1068891.8434753418
269,1049454.0706863406
270,1059172.920051575
271,1070077.0762329102
272,1061543.459625244
273,1059646.9687194824
274,1060358.0046920774
275,1069208.0734100344
276,1080507.1837463377
277,1080112.0074157715
278,1079400.8233261108
279,1073237.4500579834
280,1079558.9382934573
281,1090304.9054489138
282,1092912.5063858035
283,1099707.8211135867
284,1137003.1057205198
285,1129026.4928970335
286,1111150.0950393677
287,1096294.840713501
288,1103491.820755005
289,1088946.3835678098
290,1081677.020172119
291,1136717.1735992432
292,1156596.673187256
293,1178593.286880493
294,1233926.3089981077
295,1237186.544784546
296,1224074.4755020142
297,1231721.5844192503
298,1224677.6527633667
299,1238095.791534424
300,1230845.6369628906
301,1204968.8583221436
302,1207803.0823745725
303,1206122.2611846924
304,1208614.0441741943
305,1199175.9939041138
306,1176135.0473632812
307,1144630.8531036377
308,1131709.576324463
309,1088482.5120391846
310,1069455.9276809692
311,1096472.9183425903
312,1060874.2523040771
313,1096383.1970825195
314,1064828.6018981934
315,1052381.3503875732
316,983721.2755050659
317,1032466.5192260741
318,984282.6070632935
319,875613.8603439331
320,912880.6932296753
321,847840.2752532959
322,903970.87915802
323,880729.8266830444
324,856399.8419418335
325,818475.0025787354
326,813673.7634506226
327,897491.5982284546
328,900417.6474227905
329,956671.7311325073
330,918237.1125259399
331,956585.0190963746
332,941097.4475326538
333,895784.0313186646
334,934218.7232818604
335,904972.9206695557
336,973431.0330429077
337,974409.733833313
338,1010242.2106399536
339,1028265.1165618898
