,date,actions
238,2019-11-15,[91]
239,2019-11-18,[87]
240,2019-11-19,[83]
241,2019-11-20,[87]
242,2019-11-21,[86]
243,2019-11-22,[90]
244,2019-11-25,[-29]
245,2019-11-26,[-25]
246,2019-11-27,[86]
247,2019-11-29,[-20]
248,2019-12-02,[94]
249,2019-12-03,[99]
250,2019-12-04,[100]
251,2019-12-05,[100]
252,2019-12-06,[98]
253,2019-12-09,[88]
254,2019-12-10,[83]
255,2019-12-11,[85]
256,2019-12-12,[-30]
257,2019-12-13,[-22]
258,2019-12-16,[-19]
259,2019-12-17,[-15]
260,2019-12-18,[-19]
261,2019-12-19,[-19]
262,2019-12-20,[-27]
263,2019-12-23,[-31]
264,2019-12-24,[-30]
265,2019-12-26,[78]
266,2019-12-27,[-28]
267,2019-12-30,[88]
268,2019-12-31,[87]
269,2020-01-02,[-23]
270,2020-01-03,[79]
271,2020-01-06,[81]
272,2020-01-07,[78]
273,2020-01-08,[-33]
274,2020-01-09,[-35]
275,2020-01-10,[-41]
276,2020-01-13,[-41]
277,2020-01-14,[-39]
278,2020-01-15,[-40]
279,2020-01-16,[-40]
280,2020-01-17,[-46]
281,2020-01-21,[-53]
282,2020-01-22,[-79]
283,2020-01-23,[-85]
284,2020-01-24,[-78]
285,2020-01-27,[-58]
286,2020-01-28,[-54]
287,2020-01-29,[-41]
288,2020-01-30,[57]
289,2020-01-31,[-66]
290,2020-02-03,[-96]
291,2020-02-04,[-100]
292,2020-02-05,[-100]
293,2020-02-06,[-100]
294,2020-02-07,[-100]
295,2020-02-10,[-100]
296,2020-02-11,[-100]
297,2020-02-12,[-100]
298,2020-02-13,[-100]
299,2020-02-14,[-100]
300,2020-02-18,[-100]
301,2020-02-19,[-90]
302,2020-02-20,[-91]
303,2020-02-21,[-81]
304,2020-02-24,[-74]
305,2020-02-25,[-36]
306,2020-02-26,[-25]
307,2020-02-27,[-1]
308,2020-02-28,[15]
309,2020-03-02,[10]
310,2020-03-03,[4]
311,2020-03-04,[-10]
312,2020-03-05,[2]
313,2020-03-06,[29]
314,2020-03-09,[83]
315,2020-03-10,[100]
316,2020-03-11,[100]
317,2020-03-12,[100]
318,2020-03-13,[100]
319,2020-03-16,[100]
320,2020-03-17,[100]
321,2020-03-18,[100]
322,2020-03-19,[100]
323,2020-03-20,[100]
324,2020-03-23,[100]
325,2020-03-24,[100]
326,2020-03-25,[100]
327,2020-03-26,[100]
328,2020-03-27,[100]
329,2020-03-30,[100]
330,2020-03-31,[100]
331,2020-04-01,[100]
332,2020-04-02,[100]
333,2020-04-03,[100]
334,2020-04-06,[100]
335,2020-04-07,[100]
336,2020-04-08,[100]
337,2020-04-09,[100]
338,2020-04-13,[75]
339,2020-04-14,[67]
340,2020-04-15,[84]
341,2020-04-16,[93]
342,2020-04-17,[100]
343,2020-04-20,[95]
344,2020-04-21,[93]
345,2020-04-22,[78]
346,2020-04-23,[100]
347,2020-04-24,[59]
348,2020-04-27,[48]
349,2020-04-28,[39]
350,2020-04-29,[27]
351,2020-04-30,[32]
352,2020-05-01,[41]
353,2020-05-04,[60]
354,2020-05-05,[64]
355,2020-05-06,[57]
356,2020-05-07,[100]
357,2020-05-08,[100]
358,2020-05-11,[100]
359,2020-05-12,[100]
360,2020-05-13,[100]
361,2020-05-14,[100]
362,2020-05-15,[100]
363,2020-05-18,[62]
364,2020-05-19,[100]
365,2020-05-20,[37]
366,2020-05-21,[100]
367,2020-05-22,[100]
368,2020-05-26,[59]
369,2020-05-27,[46]
370,2020-05-28,[36]
371,2020-05-29,[22]
372,2020-06-01,[18]
373,2020-06-02,[18]
374,2020-06-03,[12]
375,2020-06-04,[8]
376,2020-06-05,[-15]
377,2020-06-08,[-45]
378,2020-06-09,[-47]
379,2020-06-10,[-29]
380,2020-06-11,[100]
381,2020-06-12,[100]
382,2020-06-15,[46]
383,2020-06-16,[0]
384,2020-06-17,[0]
385,2020-06-18,[0]
386,2020-06-19,[0]
387,2020-06-22,[0]
388,2020-06-23,[0]
389,2020-06-24,[0]
390,2020-06-25,[0]
391,2020-06-26,[0]
392,2020-06-29,[0]
393,2020-06-30,[0]
394,2020-07-01,[0]
395,2020-07-02,[0]
396,2020-07-06,[0]
397,2020-07-07,[0]
398,2020-07-08,[0]
399,2020-07-09,[0]
