,raw_actions
0,0.65328693
1,0.7330729
2,0.7776721
3,0.8637745
4,-0.5107878
5,-0.5164422
6,0.72978246
7,0.7899377
8,0.83418536
9,-0.6149537
10,-0.5471291
11,-0.6374981
12,-0.5930104
13,-0.6547322
14,-0.8577414
15,-1.0
16,-1.0
17,-1.0
18,0.16603264
19,-0.9354723
20,0.36139807
21,0.8151644
22,1.0
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
29,1.0
30,0.33767453
31,0.1248355
32,-0.03595806
33,-0.31234476
34,-0.47358316
35,-0.5464866
36,-0.5915987
37,-0.6512756
38,-0.5417891
39,-0.58640045
40,-0.66142756
41,-0.57218206
42,0.79586035
43,0.8041117
44,-0.5383304
45,-0.59797245
46,0.7468826
47,0.7480628
48,-0.63401324
49,0.5871102
50,-0.8153893
51,-0.83083993
52,-0.83485025
53,0.65152186
54,0.83541673
55,0.9750493
56,1.0
57,0.95839703
58,1.0
59,0.97634596
60,0.9046692
61,0.90071434
62,0.9976428
63,-0.29424906
64,-0.34312004
65,-0.28804433
66,1.0
67,1.0
68,1.0
69,1.0
70,1.0
71,-0.16408941
72,1.0
73,1.0
74,1.0
75,-0.18051812
76,-0.24825057
77,-0.24048176
78,-0.24604362
79,-0.27152002
80,-0.28761536
81,-0.42041588
82,-0.47849095
83,-0.5859788
84,-0.6111472
85,-0.6402771
86,-0.60534954
87,-0.63386106
88,-0.6550269
89,-0.6854061
90,-0.8026987
91,-0.8448795
92,-0.9483722
93,-0.9792114
94,-1.0
95,-1.0
96,-1.0
97,-1.0
98,-1.0
99,-1.0
100,-1.0
101,-0.9992568
102,0.23264208
103,0.25451067
104,-1.0
105,-1.0
106,-1.0
107,-1.0
108,-1.0
109,-1.0
110,-1.0
111,-1.0
112,-1.0
113,-1.0
114,-0.823635
115,-1.0
116,-1.0
117,-0.70236
118,-0.5639455
119,-0.44120657
120,-0.47658008
121,-0.546867
122,-0.5443666
123,-0.41998187
124,-0.4295903
125,-0.5332774
126,-0.5102079
127,-1.0
128,-1.0
129,-0.36071688
130,-0.43236876
131,-0.3057482
132,-0.11404619
133,-0.13023707
134,-0.18286562
135,-0.18694678
136,-1.0
137,-1.0
138,-1.0
139,-1.0
140,-0.33576122
141,-1.0
142,-1.0
143,-1.0
144,-0.21795598
145,-0.14423215
146,-0.0625935
147,-0.043670684
148,0.004484281
149,0.034623504
150,0.10342779
151,0.13194108
152,-0.017060839
153,-0.040646374
154,-1.0
155,-1.0
156,-1.0
157,-1.0
158,-1.0
159,-1.0
160,-1.0
161,-1.0
162,-1.0
163,-1.0
164,-1.0
165,-1.0
166,-0.4609303
167,-1.0
168,-1.0
169,-1.0
170,-1.0
171,-1.0
172,-1.0
173,-1.0
174,-1.0
175,-1.0
176,-1.0
177,-1.0
178,-1.0
179,-1.0
180,-1.0
181,-0.99143535
182,-1.0
183,-1.0
184,-1.0
185,-1.0
186,-1.0
187,-1.0
188,-1.0
189,-1.0
190,-1.0
191,-1.0
192,-1.0
193,-1.0
194,-1.0
195,-1.0
196,-1.0
197,-1.0
198,-1.0
199,-1.0
200,-1.0
201,-1.0
202,-1.0
203,-1.0
204,-1.0
205,-1.0
206,-1.0
207,-1.0
208,-1.0
209,-1.0
210,-1.0
211,-1.0
212,-1.0
213,-1.0
214,-1.0
215,-1.0
216,-1.0
217,-0.9713951
218,-0.94765466
219,-0.9532197
220,-0.9474736
221,-0.90518326
222,-0.8769753
223,-0.8501175
224,-0.8957566
225,-0.887751
226,-1.0
227,-0.8677394
228,-0.8383677
229,-0.8382055
230,-1.0
231,-0.7858124
232,-0.73141426
233,-0.17026192
234,0.255113
235,0.50062734
236,0.84280986
237,0.8335839
238,1.0
239,1.0
240,1.0
241,1.0
242,1.0
243,1.0
244,1.0
245,1.0
246,1.0
247,1.0
248,1.0
249,1.0
250,1.0
251,1.0
252,0.2956593
253,0.23839164
254,0.17675287
255,0.09110284
256,-0.030545875
257,-0.095592625
258,-0.12863192
259,-0.09896844
260,-0.026273437
261,0.019724652
262,0.02011922
263,0.0148287825
264,1.0
265,1.0
266,1.0
267,1.0
268,1.0
269,-0.11645668
270,-0.09011967
271,-0.23929662
272,-0.33568466
273,-0.39155942
274,-0.47247475
275,-0.5246903
276,-0.55015206
277,-0.5731693
278,-0.5288961
279,-0.5078825
280,-0.53240675
281,0.7877333
282,0.79290754
283,-0.5262135
284,-0.5903477
285,-0.67292726
286,-0.6529115
287,-0.63247424
288,-0.64589614
289,-0.6957731
290,-0.79755956
291,-0.83570194
292,-0.8742804
293,-0.8924837
294,-0.88750744
295,-0.83412796
296,-0.7399078
297,-0.75036705
298,-0.76176137
299,0.49098635
300,0.5586861
301,0.5556213
302,0.4762987
303,0.47432154
304,-1.0
305,-1.0
306,-1.0
307,-1.0
308,-1.0
309,-1.0
310,-1.0
311,-1.0
312,-1.0
313,-1.0
314,-1.0
315,-0.36697498
316,-0.20787594
317,-0.08094955
318,0.14296982
319,0.27372584
320,0.15763259
321,0.16951036
322,0.021495938
323,0.0588687
324,0.29542428
325,0.3703155
326,0.37428686
327,0.6309441
328,1.0
329,1.0
330,1.0
331,1.0
332,1.0
333,1.0
334,1.0
335,1.0
336,1.0
337,1.0
338,1.0
339,1.0
340,1.0
341,1.0
342,1.0
343,1.0
344,1.0
345,1.0
346,1.0
347,1.0
348,1.0
349,1.0
350,0.8767868
351,0.8886953
352,0.9986996
353,1.0
354,1.0
355,1.0
356,0.86098087
357,0.8606344
358,0.7460659
359,0.40679735
360,0.45902988
361,0.17780843
362,0.24579468
363,0.48208466
364,0.5161283
365,1.0
366,1.0
367,0.5399894
368,1.0
369,0.32931766
370,1.0
371,1.0
372,0.45631468
373,0.39355433
374,0.31797957
375,0.24539435
376,-0.06787587
377,-0.31279552
378,-0.48369974
379,-0.75035316
380,-0.73542243
381,-0.6139587
382,-0.4607432
383,-0.42956376
384,-0.4818464
385,-0.7915887
386,-0.7941199
387,-0.91424674
388,-1.0
389,-1.0
390,-1.0
391,-1.0
392,-0.9137227
393,-0.9409563
394,0.15991583
395,-1.0
396,0.25939956
397,0.2583088
398,0.29928654
399,0.3471446
400,0.57472724
401,0.66555935
402,0.9530813
403,1.0
404,1.0
405,1.0
406,1.0
407,0.91130275
408,-0.49811256
409,-0.8106354
410,-1.0
411,-1.0
412,-1.0
413,-1.0
414,-1.0
415,-1.0
416,-1.0
417,-1.0
418,-1.0
419,-1.0
420,-1.0
421,-1.0
422,-1.0
423,-1.0
424,-1.0
425,-1.0
426,-0.31726652
427,-0.28710347
428,-0.2238163
429,-0.32471114
430,-1.0
431,-1.0
432,-1.0
433,-1.0
434,-1.0
435,-1.0
436,-1.0
437,-1.0
438,-1.0
439,-1.0
440,-1.0
441,-1.0
442,-1.0
443,-1.0
444,-1.0
445,-1.0
446,-1.0
447,-1.0
448,-1.0
449,-1.0
450,-1.0
451,-0.9426668
452,-0.76261514
453,-0.7542071
454,-0.7467539
455,-0.67818797
456,-0.6303732
457,-0.56257284
458,-0.7357627
459,-0.69671565
460,-1.0
461,-1.0
462,-1.0
463,-1.0
464,-1.0
465,-1.0
466,-1.0
467,-1.0
468,-1.0
469,-1.0
470,-1.0
471,-1.0
472,-1.0
473,-1.0
474,-1.0
475,-1.0
476,-1.0
477,-1.0
478,-1.0
479,-1.0
480,-1.0
481,-1.0
482,-1.0
483,-1.0
484,-1.0
485,-1.0
486,-1.0
487,-1.0
488,-1.0
489,-1.0
490,-1.0
