,raw_actions
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,0.9912695
15,0.9262453
16,0.8333042
17,0.77954835
18,0.93154174
19,0.96020395
20,1.0
21,1.0
22,1.0
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
29,1.0
30,1.0
31,1.0
32,1.0
33,1.0
34,1.0
35,1.0
36,1.0
37,1.0
38,1.0
39,1.0
40,1.0
41,1.0
42,1.0
43,1.0
44,1.0
45,1.0
46,1.0
47,1.0
48,1.0
49,1.0
50,1.0
51,1.0
52,0.96252126
53,1.0
54,1.0
55,1.0
56,1.0
57,1.0
58,1.0
59,1.0
60,1.0
61,1.0
62,1.0
63,1.0
64,1.0
65,1.0
66,1.0
67,1.0
68,1.0
69,1.0
70,1.0
71,1.0
72,1.0
73,1.0
74,1.0
75,1.0
76,1.0
77,1.0
78,1.0
79,1.0
80,1.0
81,1.0
82,1.0
83,1.0
84,1.0
85,1.0
86,1.0
87,1.0
88,1.0
89,1.0
90,1.0
91,1.0
92,0.97139317
93,0.94411546
94,0.9359055
95,0.8979477
96,0.90019006
97,0.90446186
98,0.9162311
99,0.89940655
100,0.9031498
101,0.90074676
102,0.9250736
103,0.92889386
104,0.70667595
105,0.60595924
106,0.56962353
107,0.586447
108,0.58971953
109,0.54428834
110,0.5319808
111,0.4556156
112,0.39183187
113,0.37478045
114,0.52662486
115,0.44896665
116,0.4528439
117,0.56883025
118,0.6391155
119,0.6523638
120,0.61749405
121,0.59727216
122,0.61791205
123,0.6475191
124,0.64677614
125,0.61642236
126,0.6612722
127,0.55968934
128,0.57451904
129,0.688073
130,0.67765206
131,0.7221698
132,0.7934968
133,0.7774519
134,0.7887568
135,0.72720295
136,0.600361
137,0.5944115
138,0.58492905
139,0.6222131
140,0.7526244
141,0.68465143
142,0.69149864
143,0.6658703
144,0.7110085
145,0.7823287
146,0.82143396
147,0.81642103
148,0.8621631
149,0.8487534
150,0.864524
151,0.865062
152,0.81928545
153,0.80841607
154,0.73908985
155,0.73344284
156,0.73585707
157,0.6691059
158,0.6514782
159,0.6327147
160,0.6056024
161,0.5761416
162,0.5687851
163,0.56844854
164,0.57335365
165,0.6126713
166,0.6648897
167,0.5665568
168,0.50122315
169,0.4978927
170,0.4269876
171,0.40492535
172,0.3972696
173,0.36768454
174,0.3719153
175,0.31970045
176,0.35833877
177,0.3266759
