,0
Annual return,-0.06793412558403245
Cumulative returns,-0.14329552791596922
Annual volatility,0.34499873838451883
Sharpe ratio,-0.03386756717706427
Calmar ratio,-0.16910376291297713
Stability,0.012867851116055097
Max drawdown,-0.401730419322438
Omega ratio,0.9934218312465073
Sortino ratio,-0.05086081044408346
Skew,
Kurtosis,
Tail ratio,0.9999357495094623
Daily value at risk,-0.04351212159010271
