,0
Annual return,0.00014168735389441522
Cumulative returns,0.0003098265647965004
Annual volatility,0.31234509586178455
Sharpe ratio,0.15780852634317188
Calmar ratio,0.0003634874931750666
Stability,0.06749848705524593
Max drawdown,-0.389799804820724
Omega ratio,1.032737636148107
Sortino ratio,0.21519752967885633
Skew,
Kurtosis,
Tail ratio,0.984473891036658
Daily value at risk,-0.03915618509239077
