,raw_actions
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
21,1.0
22,1.0
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
29,1.0
30,1.0
31,1.0
32,1.0
33,1.0
34,1.0
35,1.0
36,1.0
37,1.0
38,1.0
39,1.0
40,1.0
41,1.0
42,1.0
43,1.0
44,1.0
45,1.0
46,1.0
47,0.9650521
48,0.9365142
49,0.870362
50,0.79961026
51,0.7625735
52,0.7069143
53,0.65642166
54,0.64000505
55,0.6121119
56,0.5612321
57,0.5745195
58,0.5568331
59,0.54546887
60,0.5571208
61,0.5561558
62,0.6057558
63,0.652797
64,0.6490413
65,0.64292634
66,0.63694715
67,0.5844824
68,0.55914575
69,0.5101064
70,0.4452377
71,0.41372973
72,0.37471932
73,0.3611976
74,0.38109976
75,0.33229464
76,0.37030566
77,0.37466085
78,0.34825867
79,0.32021058
80,0.28787136
81,0.22578965
82,0.1744207
83,0.16560304
84,0.11209649
85,0.12292541
86,0.114427716
87,0.11258178
88,0.11339091
89,0.09717635
90,0.04181242
91,0.09263868
92,0.13605167
93,0.14079049
94,0.2503955
95,0.22971566
96,0.30670375
97,0.31334704
98,0.35518336
99,0.33541793
100,0.3037951
101,0.30761522
102,0.29477257
103,0.26706553
104,0.2935711
105,0.2959336
106,0.31201774
107,0.36435986
108,0.42040944
109,0.47676247
110,0.4936614
111,0.537069
112,0.49808514
113,0.50278246
114,0.4591053
115,0.43830603
116,0.41204047
117,0.4203766
118,0.46173412
119,0.56033343
120,0.5627015
121,0.660572
122,0.74060166
123,0.7202685
124,0.72663635
125,0.6975777
126,0.61047053
127,0.5901434
128,0.50360036
129,0.42596513
130,0.3688544
131,0.34930176
132,0.34481293
133,0.30031776
134,0.29018682
135,0.26134396
136,0.21217088
137,0.1666573
138,0.13142653
139,0.107963234
140,0.07971731
141,0.099992916
142,0.0775523
143,0.07338847
144,0.061507747
145,0.008058891
146,-0.010294929
147,-0.018283114
148,-0.022431463
149,-0.032724097
150,-0.03549613
151,-0.0789731
152,-0.09797253
153,-0.09308015
154,-0.18109128
155,-0.27630794
156,-0.3184315
157,-0.46621317
158,-0.47921133
159,-0.5064902
160,-0.57407254
161,-0.6065744
162,-0.58846116
163,-0.56668955
164,-0.5683074
165,-0.5582179
