,raw_actions
475,0.8617812
476,0.8936251
477,0.8901933
478,0.8919134
479,0.8721907
480,0.86389023
481,0.86156654
482,0.8449288
483,0.8426882
484,0.8036303
485,0.76541746
486,0.7759747
487,0.7786484
488,0.7211032
489,0.71194863
490,0.7152603
491,0.69976425
492,0.6666643
493,0.6668968
494,0.66402924
495,0.6590274
496,0.63188785
497,0.644782
498,0.6372989
499,0.63095754
500,0.6379024
501,0.63748366
502,0.62900186
503,0.61504596
504,0.65887266
505,0.66887903
506,0.71696943
507,0.6379502
508,0.6420911
509,0.6909794
510,0.7220955
511,0.73966676
512,0.7425929
513,0.7672132
514,0.7290771
515,0.7318032
516,0.7531631
517,0.7491176
518,0.7337034
519,0.7473799
520,0.7295617
521,0.72949106
522,0.73352677
523,0.6793473
524,0.70601463
525,0.71795285
526,0.6831898
527,0.6705816
528,0.6724675
529,0.66246283
530,0.6585495
531,0.6556178
532,0.6404796
533,0.6339267
534,0.6232451
535,0.6305048
536,0.63069654
537,0.6242416
538,0.61869496
539,0.6219076
540,0.61095196
541,0.61374074
542,0.62796533
543,0.5952746
544,0.6053831
545,0.60952026
546,0.60977733
547,0.61489403
548,0.61615187
549,0.6199292
550,0.62587315
551,0.63033485
552,0.6387724
553,0.6356918
554,0.63764584
555,0.64052075
556,0.6414127
557,0.64643246
558,0.6508655
559,0.6511828
560,0.6490508
561,0.62283707
562,0.6349813
563,0.6063666
