,0
Annual return,0.21184963538845247
Cumulative returns,2.002701870649685
Annual volatility,0.15540861571390785
Sharpe ratio,1.3149804156479354
Calmar ratio,1.766022541330047
Stability,0.6460097653857622
Max drawdown,-0.11995862478001094
Omega ratio,1.3889638043090264
Sortino ratio,2.147591816466461
Skew,
Kurtosis,
Tail ratio,1.2064114897416705
Daily value at risk,-0.018768695631836956
