,date,actions
236,2019-11-13,[37]
237,2019-11-14,[26]
238,2019-11-15,[17]
239,2019-11-18,[12]
240,2019-11-19,[9]
241,2019-11-20,[19]
242,2019-11-21,[25]
243,2019-11-22,[34]
244,2019-11-25,[31]
245,2019-11-26,[35]
246,2019-11-27,[40]
247,2019-11-29,[36]
248,2019-12-02,[39]
249,2019-12-03,[43]
250,2019-12-04,[50]
251,2019-12-05,[40]
252,2019-12-06,[34]
253,2019-12-09,[31]
254,2019-12-10,[33]
255,2019-12-11,[42]
256,2019-12-12,[38]
257,2019-12-13,[42]
258,2019-12-16,[46]
259,2019-12-17,[41]
260,2019-12-18,[31]
261,2019-12-19,[22]
262,2019-12-20,[17]
263,2019-12-23,[9]
264,2019-12-24,[10]
265,2019-12-26,[7]
266,2019-12-27,[8]
267,2019-12-30,[12]
268,2019-12-31,[14]
269,2020-01-02,[4]
270,2020-01-03,[0]
271,2020-01-06,[4]
272,2020-01-07,[6]
273,2020-01-08,[0]
274,2020-01-09,[2]
275,2020-01-10,[1]
276,2020-01-13,[3]
277,2020-01-14,[-1]
278,2020-01-15,[-8]
279,2020-01-16,[-9]
280,2020-01-17,[-16]
281,2020-01-21,[-25]
282,2020-01-22,[-48]
283,2020-01-23,[-64]
284,2020-01-24,[-53]
285,2020-01-27,[-43]
286,2020-01-28,[-52]
287,2020-01-29,[-57]
288,2020-01-30,[-52]
289,2020-01-31,[-78]
290,2020-02-03,[-100]
291,2020-02-04,[-100]
292,2020-02-05,[-100]
293,2020-02-06,[-100]
294,2020-02-07,[-100]
295,2020-02-10,[-100]
296,2020-02-11,[-100]
297,2020-02-12,[-100]
298,2020-02-13,[-100]
299,2020-02-14,[-100]
300,2020-02-18,[-100]
301,2020-02-19,[-100]
302,2020-02-20,[-100]
303,2020-02-21,[-100]
304,2020-02-24,[-100]
305,2020-02-25,[-100]
306,2020-02-26,[-100]
307,2020-02-27,[-28]
308,2020-02-28,[0]
309,2020-03-02,[0]
310,2020-03-03,[0]
311,2020-03-04,[0]
312,2020-03-05,[0]
313,2020-03-06,[20]
314,2020-03-09,[100]
315,2020-03-10,[100]
316,2020-03-11,[100]
317,2020-03-12,[100]
318,2020-03-13,[100]
319,2020-03-16,[100]
320,2020-03-17,[100]
321,2020-03-18,[100]
322,2020-03-19,[100]
323,2020-03-20,[100]
324,2020-03-23,[100]
325,2020-03-24,[100]
326,2020-03-25,[100]
327,2020-03-26,[100]
328,2020-03-27,[100]
329,2020-03-30,[100]
330,2020-03-31,[100]
331,2020-04-01,[100]
332,2020-04-02,[100]
333,2020-04-03,[100]
334,2020-04-06,[100]
335,2020-04-07,[100]
336,2020-04-08,[100]
337,2020-04-09,[100]
338,2020-04-13,[100]
339,2020-04-14,[100]
340,2020-04-15,[100]
341,2020-04-16,[100]
342,2020-04-17,[100]
343,2020-04-20,[100]
344,2020-04-21,[100]
345,2020-04-22,[100]
346,2020-04-23,[100]
347,2020-04-24,[100]
348,2020-04-27,[100]
349,2020-04-28,[100]
350,2020-04-29,[100]
351,2020-04-30,[100]
352,2020-05-01,[100]
353,2020-05-04,[100]
354,2020-05-05,[100]
355,2020-05-06,[100]
356,2020-05-07,[100]
357,2020-05-08,[100]
358,2020-05-11,[100]
359,2020-05-12,[100]
360,2020-05-13,[100]
361,2020-05-14,[100]
362,2020-05-15,[100]
363,2020-05-18,[100]
364,2020-05-19,[100]
365,2020-05-20,[100]
366,2020-05-21,[100]
367,2020-05-22,[100]
368,2020-05-26,[100]
369,2020-05-27,[100]
370,2020-05-28,[100]
371,2020-05-29,[100]
372,2020-06-01,[99]
373,2020-06-02,[93]
374,2020-06-03,[81]
375,2020-06-04,[72]
376,2020-06-05,[40]
377,2020-06-08,[-2]
378,2020-06-09,[-23]
379,2020-06-10,[-10]
380,2020-06-11,[17]
381,2020-06-12,[13]
382,2020-06-15,[0]
383,2020-06-16,[-19]
384,2020-06-17,[-22]
385,2020-06-18,[-27]
386,2020-06-19,[-24]
387,2020-06-22,[40]
388,2020-06-23,[73]
389,2020-06-24,[100]
390,2020-06-25,[98]
391,2020-06-26,[94]
392,2020-06-29,[82]
393,2020-06-30,[87]
394,2020-07-01,[95]
395,2020-07-02,[100]
396,2020-07-06,[100]
397,2020-07-07,[100]
398,2020-07-08,[100]
399,2020-07-09,[100]
400,2020-07-10,[100]
401,2020-07-13,[100]
402,2020-07-14,[100]
403,2020-07-15,[94]
404,2020-07-16,[82]
405,2020-07-17,[73]
406,2020-07-20,[76]
407,2020-07-21,[62]
408,2020-07-22,[46]
409,2020-07-23,[21]
410,2020-07-24,[8]
411,2020-07-27,[-6]
412,2020-07-28,[-21]
413,2020-07-29,[-30]
414,2020-07-30,[-26]
415,2020-07-31,[-31]
416,2020-08-03,[-32]
417,2020-08-04,[-39]
418,2020-08-05,[-29]
419,2020-08-06,[-18]
420,2020-08-07,[-23]
421,2020-08-10,[-21]
422,2020-08-11,[-22]
423,2020-08-12,[-17]
424,2020-08-13,[-23]
425,2020-08-14,[-32]
426,2020-08-17,[-37]
427,2020-08-18,[-36]
428,2020-08-19,[-41]
429,2020-08-20,[-41]
430,2020-08-21,[-44]
431,2020-08-24,[-41]
432,2020-08-25,[-37]
433,2020-08-26,[-22]
434,2020-08-27,[-22]
435,2020-08-28,[-22]
436,2020-08-31,[-14]
437,2020-09-01,[-2]
438,2020-09-02,[-21]
439,2020-09-03,[-25]
440,2020-09-04,[-15]
441,2020-09-08,[-1]
442,2020-09-09,[-9]
443,2020-09-10,[0]
444,2020-09-11,[12]
445,2020-09-14,[3]
446,2020-09-15,[-1]
447,2020-09-16,[-7]
448,2020-09-17,[11]
449,2020-09-18,[20]
450,2020-09-21,[37]
451,2020-09-22,[35]
452,2020-09-23,[40]
453,2020-09-24,[42]
454,2020-09-25,[38]
455,2020-09-28,[21]
456,2020-09-29,[17]
457,2020-09-30,[29]
458,2020-10-01,[42]
459,2020-10-02,[52]
460,2020-10-05,[53]
461,2020-10-06,[54]
462,2020-10-07,[38]
463,2020-10-08,[4]
464,2020-10-09,[-18]
465,2020-10-12,[-10]
466,2020-10-13,[-8]
467,2020-10-14,[-20]
468,2020-10-15,[-19]
469,2020-10-16,[-26]
470,2020-10-19,[-52]
471,2020-10-20,[-44]
472,2020-10-21,[-34]
473,2020-10-22,[-2]
474,2020-10-23,[4]
475,2020-10-26,[38]
476,2020-10-27,[58]
477,2020-10-28,[76]
478,2020-10-29,[100]
479,2020-10-30,[100]
480,2020-11-02,[100]
481,2020-11-03,[100]
482,2020-11-04,[100]
483,2020-11-05,[100]
484,2020-11-06,[100]
485,2020-11-09,[100]
486,2020-11-10,[100]
487,2020-11-11,[100]
488,2020-11-12,[100]
489,2020-11-13,[100]
490,2020-11-16,[90]
491,2020-11-17,[88]
492,2020-11-18,[74]
493,2020-11-19,[57]
494,2020-11-20,[34]
495,2020-11-23,[26]
496,2020-11-24,[12]
497,2020-11-25,[0]
498,2020-11-27,[-15]
499,2020-11-30,[-22]
500,2020-12-01,[-26]
501,2020-12-02,[-28]
502,2020-12-03,[-37]
503,2020-12-04,[-65]
504,2020-12-07,[-87]
505,2020-12-08,[-100]
506,2020-12-09,[-100]
507,2020-12-10,[-97]
508,2020-12-11,[-88]
509,2020-12-14,[-81]
510,2020-12-15,[-99]
511,2020-12-16,[-95]
512,2020-12-17,[-99]
513,2020-12-18,[-93]
514,2020-12-21,[-89]
515,2020-12-22,[-80]
